Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,89.6163,92.3227,89.1994,91.0605,196140517.7456446,1334610526.815331
2024-02-13,2024-02-14,90.821,91.2644,88.693,89.6861,196565477.57142857,1323738638.379791
2024-02-12,2024-02-13,87.166,90.9084,85.4265,90.7995,146403730.50174215,1292994856.1045296
2024-02-11,2024-02-12,88.2021,89.7251,86.8871,87.253,131733011.37630662,1303304574.195122
2024-02-10,2024-02-11,87.8236,89.1552,86.3649,88.3316,199158869.09059232,1298312536.477352
2024-02-09,2024-02-10,85.2831,89.5849,85.2652,87.5779,191644785.36585367,1285333771.5888503
2024-02-08,2024-02-09,84.2232,86.5398,84.1383,85.182,204216022.6968641,1255327146.979094
2024-02-07,2024-02-08,84.5444,84.9243,82.4391,84.0572,136221638.2404181,1231911126.7874565
2024-02-06,2024-02-07,84.1494,85.3249,82.6706,84.536,131995869.18118466,1239227823.6898954
2024-02-05,2024-02-06,83.2451,85.7741,81.8272,84.0755,128240524.48780487,1238629458.456446
2024-02-04,2024-02-05,85.4464,85.6651,83.1861,83.3062,113829994.16376306,1246558245.6550522
2024-02-03,2024-02-04,85.7477,86.71,84.9568,85.6033,174794148.60278746,1264918357.041812
2024-02-02,2024-02-03,83.1805,86.301,82.3974,85.758,318925358.0383275,1239753936.8397212
2024-02-01,2024-02-02,85.902,85.9477,83.0256,83.7334,259043587.99303135,1234233589.0383275
2024-01-31,2024-02-01,93.0896,93.0896,85.2692,86.0396,225095986.37979093,1288136569.0452962
2024-01-30,2024-01-31,93.2873,95.2481,92.3633,92.9596,121896001.82578397,1376285157.6271777
2024-01-29,2024-01-30,90.8638,93.8093,90.4536,93.5942,112509706.24738675,1358564756.0278745
2024-01-28,2024-01-29,91.5148,93.2617,90.248,91.124,100234358.76655053,1351148747.261324
2024-01-27,2024-01-28,91.1816,92.0213,90.3696,91.4515,110335684.14634146,1344430884.1881533
2024-01-26,2024-01-27,88.6566,91.551,87.5841,91.2437,113580783.05226481,1319949998.6167247
2024-01-25,2024-01-26,89.8205,89.8205,86.9636,88.8401,112912632.54355401,1302548369.3867595
2024-01-24,2024-01-25,89.5221,90.5542,88.4886,90.048,163041421.86759582,1312389804.4738677
2024-01-23,2024-01-24,91.824,93.4941,84.6174,89.5187,170622801.9303136,1310416475.2369337
2024-01-22,2024-01-23,96.5349,97.0222,90.9542,91.4724,134320893.0174216,1380844437.292683
2024-01-21,2024-01-22,97.2308,98.5667,96.5673,96.5673,119675981.90243903,1434947550.4599304
2024-01-20,2024-01-21,96.832,98.3982,96.0995,97.2618,169046732.31358886,1429282495.3449478
2024-01-19,2024-01-20,97.0881,97.836,91.9526,96.8505,180180127.1010453,1415670604.7142856
2024-01-18,2024-01-19,101.3458,101.6073,96.1096,96.8516,155257439.3205575,1465046128.0069687
2024-01-17,2024-01-18,103.626,103.9531,100.1565,101.2673,219518984.06271777,1497441146.1777003
2024-01-16,2024-01-17,101.9008,110.1312,101.8434,103.5283,270203869.90592337,1543139337.7108014
2024-01-15,2024-01-16,99.8885,103.1658,99.8583,101.8453,159768623.61672473,1497270888.1672473
2024-01-14,2024-01-15,105.807,105.807,99.3003,99.3003,159110624.6968641,1516588279.641115
2024-01-13,2024-01-14,103.1409,107.3076,101.3228,106.1039,255103895.66898954,1540813907.4634147
2024-01-12,2024-01-13,109.6279,113.3788,100.6391,103.1233,348915801.83972126,1591267028.379791
2024-01-11,2024-01-12,106.8103,117.0987,106.7958,109.704,446828480.5017422,1624929426.5679443
2024-01-10,2024-01-11,96.682,109.3781,96.682,106.6979,261716051.35191637,1481024677.3310103
2024-01-09,2024-01-10,99.0175,99.2359,92.6732,96.5248,2021520265.466899,1407724991.2404182
2024-01-08,2024-01-09,94.8407,99.5566,89.1313,98.7383,2591276257.034843,1398826472.3310103
2024-01-07,2024-01-08,99.3347,100.3237,93.7905,94.9423,2211996129.818815,1449776137.7665505
2024-01-06,2024-01-07,102.9892,103.1275,97.46,99.2586,2790229330.449477,1470513420.3101046
2024-01-05,2024-01-06,103.7445,105.789,99.9184,102.6305,3134623104.7456446,1510807103.5749128
2024-01-04,2024-01-05,102.6151,105.7028,101.6016,103.9937,3188130917.226481,1521871220.8710802
2024-01-03,2024-01-04,110.8535,113.0948,97.5366,102.5616,1516215622.662021,1564614793.0139372
2024-01-02,2024-01-03,116.1717,119.7659,109.5814,110.4825,275851873.4878049,1690821197.7456446
2024-01-01,2024-01-02,109.5756,116.1108,108.3848,116.1108,266804859.34843206,1637839453.9651568
2023-12-31,2024-01-01,111.3508,118.4425,109.0764,109.0764,305578245.4494774,1676548444.8501742
2023-12-30,2023-12-31,111.9544,117.2209,111.196,111.3761,354914438.4041812,1664100435.9756098
2023-12-29,2023-12-30,121.4308,121.4308,109.3931,112.4891,532487449.7630662,1654896857.3658535
2023-12-28,2023-12-29,115.3412,129.2699,113.5273,119.0662,753811859.9965156,1761203971.7874565
2023-12-27,2023-12-28,102.972,113.131,99.6443,112.4389,474214201.456446,1562441121.56446
2023-12-26,2023-12-27,102.6835,108.3889,99.2583,102.8884,371969169.2369338,1504919195.2648084
2023-12-25,2023-12-26,99.9998,104.9582,98.72,103.1979,323389374.5923345,1490969987.8432057
2023-12-24,2023-12-25,99.3397,103.1115,98.5364,99.9884,283536776.4041812,1487188364.0940766
2023-12-23,2023-12-24,100.1722,101.8276,95.7976,99.5062,268144998.09059232,1436750976.5923345
2023-12-22,2023-12-23,101.6047,102.45,98.5406,100.2113,249066689.44599304,1469433968.1393728
2023-12-21,2023-12-22,99.8473,101.9814,98.848,101.5992,238981859.90592334,1467607409.4146342
2023-12-20,2023-12-21,101.3742,105.4346,99.7277,100.1225,258654226.35888502,1498540401.7491288
2023-12-19,2023-12-20,98.7556,107.1429,98.7556,101.3329,308644146.73170733,1510346165.087108
2023-12-18,2023-12-19,100.1428,100.6125,93.8864,98.8749,237161090.0348432,1425762299.142857
2023-12-17,2023-12-18,104.58,105.1122,99.6852,100.1827,254110853.97212544,1515238925.6027875
