Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,40.9932,41.6486,38.9699,39.8055,1303686570.5052264,14879744483.296167
2024-02-12,2024-02-13,39.7482,41.0657,38.4865,41.0657,954485814.0139372,14536099919.254354
2024-02-11,2024-02-12,40.4473,41.1227,39.4705,39.7688,1054352394.6236933,14782536368.648083
2024-02-10,2024-02-11,38.219,41.1335,38.2023,40.3212,1227106219.8815331,14422428808.738676
2024-02-09,2024-02-10,35.4739,38.5564,35.4672,38.0729,806696952.6864111,13530321267.989548
2024-02-08,2024-02-09,35.2914,36.0946,35.1304,35.4452,749838222.7560976,13037290881.710802
2024-02-07,2024-02-08,34.1569,35.3782,33.7816,35.2348,544622879.5574913,12680482271.937283
2024-02-06,2024-02-07,34.4528,34.7052,33.8266,34.1769,583323409.8118467,12573086414.278746
2024-02-05,2024-02-06,34.8733,35.8431,34.1971,34.5521,650512043.8222996,12847543990.554007
2024-02-04,2024-02-05,35.9616,36.4794,34.8444,34.8731,572303003.7038327,13129267872.222996
2024-02-03,2024-02-04,36.6025,37.4848,35.4537,35.9387,1027842194.6689895,13243470171.04878
2024-02-02,2024-02-03,33.7946,36.7804,33.7946,36.7209,954184568.2961673,13011567381.439024
2024-02-01,2024-02-02,33.2535,33.9067,32.4032,33.8235,939543092.1602788,12221084013.69338
2024-01-31,2024-02-01,35.1909,35.4461,33.1901,33.1901,988749912.7038327,12751439932.216028
2024-01-30,2024-01-31,35.8752,37.0545,35.1061,35.1294,1164818042.728223,13247221421.860628
2024-01-29,2024-01-30,34.6765,36.4494,34.4227,36.0757,1350313188.5783973,12988276283.31359
2024-01-28,2024-01-29,33.3796,36.5861,33.3673,34.8206,1271163851.4425087,12980413612.320557
2024-01-27,2024-01-28,32.2272,33.2533,31.9254,33.2324,753059624.7491289,11941088219.25784
2024-01-26,2024-01-27,30.4472,32.9762,30.165,32.2611,824478173.5470383,11593154686.247387
2024-01-25,2024-01-26,31.0767,31.307,29.7072,30.5038,921573714.4459931,11158519566.43554
2024-01-24,2024-01-25,30.2712,31.8613,29.5295,31.2612,1348411918.979094,11224079154.519163
2024-01-23,2024-01-24,29.5668,30.627,27.3878,30.4665,1260271245.0383275,10674260128.581882
