Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,280.2921,284.5874,268.4046,271.0909,956936793.174216,5393384775.191638
2024-02-12,2024-02-13,276.9818,287.5326,267.7375,280.7684,1301861799.958188,5446654975.108014
2024-02-11,2024-02-12,248.0684,282.4962,247.5549,276.2254,928254043.5783972,5289262008.777003
2024-02-10,2024-02-11,250.9324,251.4238,244.3298,247.9776,326970906.0383275,4862860995.174216
2024-02-09,2024-02-10,245.1709,253.4513,245.043,250.4862,349990436.1881533,4899724495.902439
2024-02-08,2024-02-09,241.1558,245.0018,240.9184,244.6926,292827471.6236934,4770410548.620209
2024-02-07,2024-02-08,235.6233,241.1557,235.012,240.7465,262619758.72125435,4647160514.296167
2024-02-06,2024-02-07,235.9114,237.5541,234.903,235.4414,272695710.5052265,4631173830.2264805
2024-02-05,2024-02-06,235.2513,238.0366,234.5507,235.8137,285791398.31010455,4635650187.982578
2024-02-04,2024-02-05,241.8937,243.4525,234.1237,235.5001,359911690.26480836,4693981387.554007
2024-02-03,2024-02-04,236.5809,241.9265,236.5809,240.0493,287614608.33101046,4695313872.689896
2024-02-02,2024-02-03,236.8468,238.1027,235.0598,236.4485,258051088.22648084,4648525286.278746
2024-02-01,2024-02-02,234.6386,237.4665,231.0073,236.8476,339928888.9547038,4613532303.010453
2024-01-31,2024-02-01,237.8548,238.9453,233.4102,234.638,316209576.32752615,4642156695.449477
2024-01-30,2024-01-31,241.0587,243.7803,237.4183,237.6055,297991557.456446,4744687087.45993
2024-01-29,2024-01-30,236.7802,241.9899,234.9909,241.5431,300058264.31358886,4675068046.79791
2024-01-28,2024-01-29,243.9681,245.6322,235.8339,237.1729,305580524.9512195,4733255356.662021
2024-01-27,2024-01-28,242.3574,244.766,239.777,243.9638,326757199.1080139,4761335134.707317
2024-01-26,2024-01-27,236.6578,242.9394,235.0782,242.0789,303233193.31010455,4686920267.672474
2024-01-25,2024-01-26,236.2467,238.2132,234.9152,237.1934,330930489.63414633,4643171232.916376
2024-01-24,2024-01-25,229.4128,238.1995,228.9313,236.7398,479005264.63414633,4610316546.8223
2024-01-23,2024-01-24,235.8432,237.632,219.915,229.886,535472895.88850176,4502688951.8013935
2024-01-22,2024-01-23,237.7871,240.6035,231.4308,234.6144,394592763.0243902,4613023313.303136
2024-01-21,2024-01-22,239.4775,242.7786,237.674,237.674,272543980.1045296,4717759328.348432
2024-01-20,2024-01-21,236.6236,240.2715,235.5411,239.2135,343809673.23344946,4660537300.721254
2024-01-19,2024-01-20,237.9851,239.3487,228.0503,236.7114,399731262.5958188,4624017202.74216
2024-01-18,2024-01-19,244.8582,244.8582,234.8994,237.8399,365924441.3414634,4726025989.310104
2024-01-17,2024-01-18,251.1256,251.1256,242.2007,244.3976,405813930.630662,4835033101.567945
2024-01-16,2024-01-17,250.6427,256.2032,249.4388,251.3795,420626012.7108014,4961194720.222997
2024-01-15,2024-01-16,246.7031,257.0433,246.7031,250.7306,446206583.4076655,4949019071.982578
2024-01-14,2024-01-15,254.4794,258.5399,245.7754,245.7754,456894524.27526134,4984600132.721254
2024-01-13,2024-01-14,259.3891,262.1762,252.4144,254.4081,855809017.4843205,5031118996.968641
2024-01-12,2024-01-13,277.7605,296.8491,253.2583,259.3306,1384144485.4738677,5441447635.693379
2024-01-11,2024-01-12,254.2472,285.9487,251.4081,276.5166,902377540.2264808,5207905710.634147
2024-01-10,2024-01-11,245.0383,259.5445,236.1134,253.9425,626033953.4216028,4793878133.045296
2024-01-09,2024-01-10,255.5922,255.9118,241.2788,245.0219,671989083.8641115,4867856491.547038
2024-01-08,2024-01-09,233.3861,255.6463,223.8385,254.0668,586422360.8710802,4671841520.54007
2024-01-07,2024-01-08,236.3925,239.6891,230.7677,232.2206,343956104.78397214,4637943090.808362
2024-01-06,2024-01-07,241.4297,242.8536,232.7031,236.1745,485996477.630662,4647525764.926829
2024-01-05,2024-01-06,239.5799,241.0744,231.7059,239.3888,438244762.0383275,4617181466.003485
2024-01-04,2024-01-05,234.1861,240.1741,233.3154,239.9365,632160729.6655052,4643899613.599303
2024-01-03,2024-01-04,257.8369,265.6711,226.1934,234.2143,650500051.933798,4837950541.87108
2024-01-02,2024-01-03,266.8965,270.1992,255.5114,257.4905,548136812.1567944,5159633622.738676
2024-01-01,2024-01-02,260.6417,268.8702,256.7243,266.7686,548142425.2195122,5164714068.083624
2023-12-31,2024-01-01,272.0241,272.0241,257.3447,259.8591,832706834.8675958,5191109437.15331
2023-12-30,2023-12-31,255.0727,286.7564,254.8487,271.8494,1177181700.4947736,5343708730.836237
2023-12-29,2023-12-30,263.2532,269.3128,251.7058,254.6775,1004468007.5958188,5053783599.501742
2023-12-28,2023-12-29,268.3846,276.9973,258.3115,262.9776,1397475972.6271777,5237840206.04878
2023-12-27,2023-12-28,229.6524,264.7342,227.5712,264.7342,810904239,4823126035.341463
2023-12-26,2023-12-27,235.4436,235.4436,223.6507,229.5098,394901304.36585367,4523548046.968641
2023-12-25,2023-12-26,229.9578,237.4265,228.8731,235.2168,336045426.2055749,4578082923.74216
2023-12-24,2023-12-25,233.2317,234.3871,227.8546,229.7111,297340347.3031359,4546249919.25784
2023-12-23,2023-12-24,239.1574,239.1574,230.8614,233.5727,431051075.9721254,4560707918.135888
2023-12-22,2023-12-23,233.8099,242.4172,232.5056,239.0785,397486921.728223,4628272853.397213
2023-12-21,2023-12-22,229.6171,234.5886,229.3311,233.5266,442842529.4878049,4537606973.574913
2023-12-20,2023-12-21,225.8816,234.5921,224.8003,229.8993,360905299.21602786,4493186740.12892
2023-12-19,2023-12-20,228.1734,230.5496,223.8945,225.7181,348315384.75609756,4464614859.512196
2023-12-18,2023-12-19,226.6521,228.4954,219.0061,228.2894,345126680.19163764,4406853798.752613
2023-12-17,2023-12-18,230.4964,230.8383,225.883,226.4183,272070014.25087106,4484237215.557491
2023-12-16,2023-12-17,227.8713,232.2776,226.4459,230.0138,312031619.0383275,4513715122.728223
2023-12-15,2023-12-16,237.2607,237.3512,226.7632,227.1576,433960883.4494774,4553136696.184669
2023-12-14,2023-12-15,235.296,237.8722,230.5657,237.4405,444197095.26132405,4598882126.599303
2023-12-13,2023-12-14,232.1119,236.6963,225.0555,235.5004,439405393.65384614,4507380736.70979
2023-12-12,2023-12-13,231.0343,235.0687,227.4094,232.3217,479449514.73867595,4546419603.923345
2023-12-11,2023-12-12,251.4059,251.8817,226.3241,230.469,601087722.5492958,4584132515.700705
2023-12-10,2023-12-11,253.074,255.4319,245.8524,251.3641,513903070.0557491,4925879684.996515
2023-12-09,2023-12-10,254.443,261.2519,251.2444,252.7515,578305166.358885,5006674519.836237
2023-12-08,2023-12-09,247.4133,254.421,246.51,253.9269,497654860.8432056,4891077621.372823
2023-12-07,2023-12-08,244.5888,248.9698,241.0268,247.077,705031161.7526132,4811649391.184669
2023-12-06,2023-12-07,253.9907,262.8738,244.2379,244.5559,949083564.7944251,4891434363.243902
2023-12-05,2023-12-06,251.0757,252.2186,238.8954,251.3692,895362726.0836236,4799606627.947735
2023-12-04,2023-12-05,229.8934,255.8422,229.5059,251.5757,1041848987.8954704,4843848655.763066
2023-12-03,2023-12-04,229.4573,231.3876,225.5778,230.1301,401903159.31010455,4471512742.313589
2023-12-02,2023-12-03,225.5092,228.628,225.2908,228.2023,274607806.07665503,4436443348.714286
2023-12-01,2023-12-02,221.9948,226.3242,221.4687,225.0609,284604627.7902098,4389458134.804195
2023-11-30,2023-12-01,223.4088,223.6836,220.7766,221.7983,290535026.2291667,4356585465.725695
2023-11-29,2023-11-30,223.501,226.6194,221.7691,223.2811,350631779.7986111,4381155068.6875
2023-11-28,2023-11-29,223.3895,224.8536,220.2789,223.2524,382015685.1111111,4360890285.434028
2023-11-27,2023-11-28,227.1521,228.4368,220.1337,223.4825,341393294.0139373,4393356238.059234
2023-11-26,2023-11-27,227.9981,229.8422,223.9578,226.9212,216377237.07017544,4455339784.750877
2023-11-25,2023-11-26,226.3821,228.2596,225.7829,227.6617,255875024.07665506,4449767150.306621
2023-11-24,2023-11-25,225.7409,228.7903,224.9809,226.5825,276608234.271777,4429561518.254355
2023-11-23,2023-11-24,224.1704,227.4101,222.5617,225.3753,348458592.8989547,4402730174.7735195
2023-11-22,2023-11-23,217.5662,224.6452,217.5662,224.0887,569071384.1498258,4316515798.937283
2023-11-21,2023-11-22,226.5736,234.6525,214.9573,217.5337,416274078.6062718,4462118130.825784
2023-11-20,2023-11-21,230.2229,230.8238,225.4948,226.4605,257887355.70383275,4481097244.989547
2023-11-19,2023-11-20,227.5147,231.1563,224.9451,230.529,252198400.36236933,4463892541.104529
2023-11-18,2023-11-19,229.5078,229.5425,222.3617,227.6909,352397527.19860625,4438939013.954704
2023-11-17,2023-11-18,234.1166,234.8897,222.5676,229.0184,507358407.1149826,4503231582.940766
2023-11-16,2023-11-17,238.1203,244.1558,232.1613,234.5073,466969886.65156794,4635027131.421603
2023-11-15,2023-11-16,232.3567,238.1798,230.5568,237.9775,412939140.66898954,4562993200.456446
2023-11-14,2023-11-15,234.4385,239.0599,226.1,231.9302,490225450.9686411,4596830492.142858
2023-11-13,2023-11-14,236.3771,239.933,233.4467,234.4548,406385819.097561,4632644558.777003
2023-11-12,2023-11-13,236.7396,239.3342,231.7778,236.5964,385027884.0452962,4630066793.763066
2023-11-11,2023-11-12,239.6092,241.436,233.8791,236.4595,454820298.3728223,4648286951.372823
2023-11-10,2023-11-11,239.5336,242.4063,235.9435,239.8137,800563604.0313588,4688068992.790941
2023-11-09,2023-11-10,246.6593,256.7316,229.127,239.9295,648303124.4390244,4803627128.874564
2023-11-08,2023-11-09,244.1513,247.8014,242.4464,246.3756,499098859.0174216,4783969887.665505
2023-11-07,2023-11-08,243.305,252.0503,238.8418,244.4591,517447028.82229966,4768960619.860627
2023-11-06,2023-11-07,238.0684,245.2563,236.2813,243.4877,390920701.1707317,4694698987.087108
2023-11-05,2023-11-06,242.3216,244.1079,235.7682,238.4121,326455886.20905924,4695273857.383275
2023-11-04,2023-11-05,238.1593,241.234,237.3739,241.234,301709533.8606272,4667906968.275261
2023-11-03,2023-11-04,235.4323,240.9751,231.6042,238.4214,528173910.85365856,4644470172.508711
2023-11-02,2023-11-03,246.3683,249.2514,233.197,235.5297,571233694.2334495,4716989348.728223
2023-11-01,2023-11-02,244.9207,247.5662,238.1698,245.7533,450662854.1881533,4735862686.142858
2023-10-31,2023-11-01,246.9274,249.33,239.2304,245.4993,407563368.83972126,4786792127.804878
