Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,82.1833,83.2306,78.6739,80.7301,106880018.08362369,1589689507.5958188
2024-02-12,2024-02-13,80.5051,82.2643,78.1424,82.19,91651073.91986063,1571911832.512195
2024-02-11,2024-02-12,77.7073,81.2149,77.2501,80.7127,81915218.41463415,1564924428.912892
2024-02-10,2024-02-11,79.3339,79.4393,76.201,77.7833,88034042.37979095,1527775490.5156794
2024-02-09,2024-02-10,77.1021,80.7467,76.4681,79.3384,113050695.7804878,1547421790.9163764
2024-02-08,2024-02-09,73.9671,77.062,73.5831,77.0388,94808680.32404181,1479958174
2024-02-07,2024-02-08,71.9012,73.8227,71.0154,73.7888,72026390.4912892,1413595968.1080139
2024-02-06,2024-02-07,70.9228,73.426,70.9228,72.0195,75723438.1184669,1416658432.9372823
2024-02-05,2024-02-06,70.9441,73.153,70.2325,70.7046,60517924.459930316,1400616901.477352
2024-02-04,2024-02-05,73.3608,73.3608,70.9506,71.0826,75182512.73519164,1415661513.8989546
2024-02-03,2024-02-04,71.0665,77.0599,71.0665,73.5997,101229799.51219513,1453058534.7770035
2024-02-02,2024-02-03,70.1226,71.0355,69.488,70.9234,75786176.73867595,1381986611.1010454
2024-02-01,2024-02-02,69.1473,70.3627,67.8069,70.0987,79714808.09407665,1357548801.4599304
2024-01-31,2024-02-01,71.2535,71.2535,68.679,69.0827,90025024.1184669,1371723159.6376307
2024-01-30,2024-01-31,72.9338,74.3758,71.2463,71.2488,92160729.28571428,1429821720.9756098
2024-01-29,2024-01-30,72.3805,73.6018,70.8015,73.0988,76034452.13937283,1414630939.6689897
2024-01-28,2024-01-29,72.9774,74.1424,71.7955,72.3231,84508130.88850175,1424008266.020906
2024-01-27,2024-01-28,72.0431,73.777,71.9376,73.2293,109833619.60278745,1428223924.8989546
2024-01-26,2024-01-27,67.9654,70.9948,67.0641,70.9948,99332787.11149825,1358677491.184669
2024-01-25,2024-01-26,71.2348,71.2348,67.5592,67.9633,85993918.17770036,1353150621.2891986
2024-01-24,2024-01-25,72.1972,72.7981,70.5337,71.5764,109173844.3728223,1398719948.707317
2024-01-23,2024-01-24,69.2659,72.1804,65.8029,72.1804,99947541.54006968,1374477136.1707318
2024-01-22,2024-01-23,75.5257,75.7289,69.2445,69.252,92088161.40069686,1424820211.630662
2024-01-21,2024-01-22,72.6152,77.1513,72.6152,75.5894,99874303.94773519,1471300511.4529617
2024-01-20,2024-01-21,73.5822,73.5822,71.2443,72.6623,102116986.65156795,1416430652.4912891
2024-01-19,2024-01-20,76.0554,76.791,70.187,74.0377,115041152.57142857,1447277618.783972
2024-01-18,2024-01-19,80.7407,80.7825,75.884,75.9309,105911235.73519164,1541413406.487805
2024-01-17,2024-01-18,83.269,83.269,79.9881,80.3614,110948519.3728223,1595217024.9337978
2024-01-16,2024-01-17,85.3243,85.6661,82.573,83.4313,113246605.20557491,1654153078.5783973
2024-01-15,2024-01-16,83.0624,87.5633,83.0624,85.2746,117393568.3902439,1670585426.3937283
2024-01-14,2024-01-15,85.2805,89.2401,82.7097,82.7097,136643683.4947735,1698143430.5296168
2024-01-13,2024-01-14,85.9211,86.539,83.5315,85.4385,143969563.5052265,1669257044.5365853
2024-01-12,2024-01-13,96.6364,98.8138,84.3242,85.7339,202845955.24738675,1824990226.6759582
2024-01-11,2024-01-12,92.9315,100.8351,90.1499,95.5841,237646949.0209059,1835734658.7212543
2024-01-10,2024-01-11,90.7231,95.908,87.8912,93.1912,242234900.05574912,1795452468.979094
2024-01-09,2024-01-10,94.0863,95.8513,86.7077,90.4686,257567302.9477352,1775879543.6689897
2024-01-08,2024-01-09,77.8632,94.5493,70.9838,92.8149,131904506.82578397,1509233267.9825785
2024-01-07,2024-01-08,81.6598,81.6598,76.9289,77.5933,109745937.3554007,1560083253.867596
2024-01-06,2024-01-07,86.3668,89.1623,80.3567,81.6953,167331960.12195122,1641805430.7560976
2024-01-05,2024-01-06,85.0095,85.0095,79.1685,83.6337,135011509.54703832,1603845050.6864111
2024-01-04,2024-01-05,85.6763,87.743,82.2452,85.3425,168663884.22996515,1658845617.8954704
2024-01-03,2024-01-04,99.3562,99.7426,83.73,86.4282,191197613.6968641,1802845684.9442508
2024-01-02,2024-01-03,103.487,106.2523,95.7137,99.3861,230004452.9337979,1969713431.6655052
2024-01-01,2024-01-02,95.9994,110.1923,94.7744,104.6465,247351665.87456447,2005040044.2195122
2023-12-31,2024-01-01,95.0969,100.8354,88.2125,95.8689,189064589.26480836,1830894822.71777
2023-12-30,2023-12-31,96.2945,102.1034,91.4664,93.7848,302567218.22996515,1907917099.554007
2023-12-29,2023-12-30,92.0579,106.4317,81.4713,96.0871,405000540.1672474,1798689439.56446
2023-12-28,2023-12-29,76.2355,94.7414,74.2243,92.2018,426724950.5017422,1708551406.4390244
2023-12-27,2023-12-28,49.8989,74.9512,49.5147,74.8677,143627097.24738675,1203371016.3414633
2023-12-26,2023-12-27,51.0073,51.0073,47.9993,49.9119,60820049.73170732,975947856.9198606
2023-12-25,2023-12-26,49.0743,51.2257,48.5839,51.0591,54708417.11149826,981361479.7979094
2023-12-24,2023-12-25,50.5104,50.5104,48.515,49,49531972.264808364,974009850.5121951
2023-12-23,2023-12-24,50.9708,50.9708,49.5581,50.5321,59397089.14285714,980087290.2787457
2023-12-22,2023-12-23,49.6834,51.0852,49.2959,50.9666,64338730.99303136,983938845.5574913
2023-12-21,2023-12-22,49.3642,50.513,48.93,49.6338,57803298.33797909,969150004.8710802
2023-12-20,2023-12-21,48.2114,50.0914,47.985,49.4055,57817962.94076655,959328376.7073171
2023-12-19,2023-12-20,48.4661,49.7467,47.5562,48.1146,60256895.03832752,950380817.6445993
2023-12-18,2023-12-19,48.6672,48.796,45.7917,48.382,60751312.46341463,926104873.5993031
2023-12-17,2023-12-18,49.4466,50.1656,48.6201,48.6684,57962003.92334495,969617555.4216028
2023-12-16,2023-12-17,48.6275,50.0895,48.2087,49.4163,59975223.52961673,968839615.5296167
2023-12-15,2023-12-16,49.9875,50.157,48.5021,48.628,57215111.65156794,970495539.71777
2023-12-14,2023-12-15,49.7185,50.14,48.8727,50.0179,57608475.65853658,971852410.4216028
2023-12-13,2023-12-14,48.5665,49.8861,46.6911,49.7036,59107233.77272727,940825121.020979
2023-12-12,2023-12-13,48.8599,49.3648,47.9222,48.5791,55391760.99651568,953884110.3275261
2023-12-11,2023-12-12,52.4575,52.9188,47.6851,48.6486,71877027.88380282,964063036.3204225
2023-12-10,2023-12-11,51.6933,53.3459,50.826,52.3454,63925657.09059233,1017843014.9442508
2023-12-09,2023-12-10,53.7917,53.7917,51.6243,51.6243,73169301.73867595,1034049603.933798
2023-12-08,2023-12-09,51.9444,53.7079,51.252,53.6741,66398826.02787457,1022998377.8327526
2023-12-07,2023-12-08,51.7355,52.6157,50.6738,51.3281,68647449.68292683,1008796326.1707317
2023-12-06,2023-12-07,52.6363,53.2932,51.1088,51.6666,79098032.49477352,1014458007.097561
2023-12-05,2023-12-06,52.084,52.4783,49.7393,52.1187,92967516.50522648,996567820.1114982
2023-12-04,2023-12-05,50.1281,53.4789,50.0221,52.3466,107815623.81533101,1016200649.630662
2023-12-03,2023-12-04,49.2604,50.6324,48.6024,50.1485,69019802.48432055,967889562.7735192
2023-12-02,2023-12-03,47.5769,48.738,47.4147,48.3986,50810970.8815331,937107856.1184669
2023-12-01,2023-12-02,46.4564,47.5886,46.4564,47.538,50382754.33916084,922770802.8881118
2023-11-30,2023-12-01,46.3557,46.5593,45.761,46.2475,48302566.75694445,901318418.3402778
2023-11-29,2023-11-30,46.1203,47.5689,46.0801,46.3557,56502837.114583336,916370573.1909722
2023-11-28,2023-11-29,45.4788,46.505,44.7916,46.1203,46896716.065972224,893715310.3854166
2023-11-27,2023-11-28,46.6976,46.9741,44.573,45.4557,29919520.672473866,895525197.8501742
2023-11-26,2023-11-27,47.8009,47.8491,45.9167,46.6742,23790396.663157895,921783946.645614
2023-11-25,2023-11-26,47.9157,48.9799,47.3643,47.7583,31290809.56445993,938497221.3623693
2023-11-24,2023-11-25,46.8003,48.6713,46.6081,48.0105,28093856.62020906,930002095.836237
2023-11-23,2023-11-24,46.9028,47.1969,46.3308,46.6532,28566934.222996514,915004450.3902439
2023-11-22,2023-11-23,44.8204,46.9835,44.8204,46.8512,39813654.98606272,898788611.6027875
2023-11-21,2023-11-22,47.5821,49.2389,44.7001,44.7218,33420274.99651568,925003176.3937283
2023-11-20,2023-11-21,48.2852,48.5656,47.4959,47.6333,26238236.163763065,940479053.7665505
2023-11-19,2023-11-20,46.9952,48.4811,46.4847,48.3748,36840980.944250874,930031148.9616724
2023-11-18,2023-11-19,47.7775,47.8842,45.9727,47.0179,44143183.34146342,917528889.5993031
2023-11-17,2023-11-18,48.5597,49.3774,46.1525,47.8033,49885642.35888502,939107257.1254356
2023-11-16,2023-11-17,50.3996,50.8364,47.7884,48.6684,54555907.28571428,968189759.6933798
2023-11-15,2023-11-16,48.0819,50.4259,47.537,50.4259,45744975.93728223,948813475.2125436
2023-11-14,2023-11-15,50.0902,50.0902,46.7114,48.1399,47206438.35888502,956504271.0313588
2023-11-13,2023-11-14,49.7093,52.8566,49.0657,50.1903,48153963.766550526,983160425.0940766
2023-11-12,2023-11-13,49.6681,50.0019,48.1092,49.5599,50251707.512195125,966065010.6271777
2023-11-11,2023-11-12,50.8673,50.9215,48.943,49.6427,59305188.06271777,975096545.4947735
2023-11-10,2023-11-11,49.9485,51.1621,48.8494,51.028,85824059.69337979,981162232.7630662
2023-11-09,2023-11-10,49.3134,54.4271,44.9218,49.7298,80108946.90243903,983481479.184669
2023-11-08,2023-11-09,49.1513,49.5237,48.4602,49.5211,34940900.52961673,942823580.5191637
2023-11-07,2023-11-08,49.4141,50.2926,48.0083,49.2513,35372664.369337976,940078788.8745644
2023-11-06,2023-11-07,49.7248,49.9356,48.5146,49.5212,27813837.867595818,948522734.4634147
2023-11-05,2023-11-06,49.2251,51.2155,49.1062,49.8863,30438543.00348432,966019178.6864111
2023-11-04,2023-11-05,49.0655,49.477,48.404,49.2159,18436062.777003486,944185027.5331011
2023-11-03,2023-11-04,49.1155,49.1486,47.6069,49.1166,37375629.13240418,935746492.5749129
2023-11-02,2023-11-03,50.1665,50.5291,48.4531,49.177,48170217.02090593,952061583.9268292
