Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,538.5788,589.3459,525.5226,580.503,26115160.665505227,3395997886.055749
2024-02-12,2024-02-13,536.3513,586.1368,534.7229,539.7972,28898242.135888502,3450446297.30662
2024-02-11,2024-02-12,577.0919,595.1772,533.0306,535.3875,41303120.77700348,3553888763.30662
2024-02-10,2024-02-11,547.3988,611.6608,526.7607,581.333,41220383.52961673,3460990328.5400696
2024-02-09,2024-02-10,454.2014,551.1697,453.3891,543.8622,30697639.547038328,3096406551
2024-02-08,2024-02-09,436.1969,454.6575,415.4717,454.368,32766606.74912892,2738185759.5156794
2024-02-07,2024-02-08,489.9205,494.988,440.1245,440.1245,21780787.00348432,2963120791.5923343
2024-02-06,2024-02-07,449.8742,517.2949,449.8742,489.7751,29748839.397212543,3032826991.616725
2024-02-05,2024-02-06,421.1832,450.0095,417.7871,448.9741,11258442.850174217,2676202687.2752614
2024-02-04,2024-02-05,431.0317,436.6278,416.6177,419.1542,7912190.414634147,2628590072.9616723
2024-02-03,2024-02-04,431.8206,457.8638,429.2097,431.1969,14113887.209059233,2711371696.4808364
2024-02-02,2024-02-03,447.8488,455.8491,416.0551,430.8517,16077315.229965156,2661604113.383275
2024-02-01,2024-02-02,471.6233,477.83,431.3203,448.1751,24331133.930313587,2769282636.6794424
2024-01-31,2024-02-01,434.7146,479.6748,415.6752,471.7352,29776430.445993032,2720228618.707317
2024-01-30,2024-01-31,391.5188,469.1961,389.8893,422.2515,31266780.982578397,2657778317.247387
2024-01-29,2024-01-30,357.712,404.2455,340.9798,390.5734,10044787.989547038,2191846825.3972125
2024-01-28,2024-01-29,359.7488,387.7087,351.5647,356.3572,11673240.648083623,2254084560.0592337
2024-01-27,2024-01-28,343.5708,368.0279,330.4029,359.94,8267746.2160278745,2101420898.9198606
2024-01-26,2024-01-27,325.2309,351.7807,315.4559,342.379,14864211.867595818,2040541953.7770035
2024-01-25,2024-01-26,322.2295,369.6022,305.951,327.1811,19616213.87456446,2031876221.348432
2024-01-24,2024-01-25,268.2459,325.0446,265.7517,325.0446,14167931.75261324,1808714369.4843206
2024-01-23,2024-01-24,249.1422,277.2232,248.2449,269.2321,9554388.3728223,1579508609.8710802
2024-01-22,2024-01-23,253.903,259.057,236.0966,249.7026,5731981.37630662,1499272653.3414633
2024-01-21,2024-01-22,251.1466,265.1535,250.1001,255.5216,3686877.7317073173,1557166466.1567943
2024-01-20,2024-01-21,245.9308,254.7665,238.7289,251.3602,5429943.954703833,1509960564.2020905
2024-01-19,2024-01-20,254.5115,254.5115,227.9118,245.9258,7547386.3066202095,1467007932.4738677
2024-01-18,2024-01-19,268.8262,271.3084,235.6826,254.3021,9258974.515679443,1545928491.9442508
2024-01-17,2024-01-18,255.3499,279.042,246.6915,266.2517,11948550.334494773,1612602510.6236935
2024-01-16,2024-01-17,222.085,269.1711,219.8004,256.9978,6351091.268292683,1424014722.2473867
2024-01-15,2024-01-16,219.3231,224.4339,217.3468,221.6403,3857776.843205575,1331419260.3972125
2024-01-14,2024-01-15,229.7586,237.0789,216.8317,218.8924,5467105.491289198,1362976408.2891986
