Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,20.4561,20.5815,19.6146,19.8994,1494993575.174216,11759420517.613241
2024-02-12,2024-02-13,20.23,20.8354,19.8529,20.4979,1621906785.9268293,11945668675.442509
2024-02-11,2024-02-12,19.0556,20.6544,18.8824,20.1515,1598094679.0766551,11811105157.756098
2024-02-10,2024-02-11,18.48,19.0072,18.0591,19.0072,996117348.2682927,10848458816.191637
2024-02-09,2024-02-10,18.3006,18.6035,18.1014,18.4728,1199114072.031359,10764455243.299652
2024-02-08,2024-02-09,18.836,19.2357,18.0534,18.2319,1259050856.6132405,10926473969.421602
2024-02-07,2024-02-08,18.3026,19.0424,18.1193,18.8962,1283655531.804878,10828395339.547039
2024-02-06,2024-02-07,19.1856,19.2742,18.282,18.3163,1867443517.8641114,11037158065.264809
2024-02-05,2024-02-06,18.2162,19.7106,17.8657,19.1474,2115729150.9825785,11099479443.034843
2024-02-04,2024-02-05,17.7329,18.6258,17.5793,18.2041,1277541760.1393728,10598240082.020906
2024-02-03,2024-02-04,17.8145,18.1157,17.551,17.6632,2290796335.3728223,10419241654.114983
2024-02-02,2024-02-03,17.23,18.8368,17.23,17.8081,3232763911.8083625,10252347654.36237
2024-02-01,2024-02-02,15.4616,17.3338,15.1847,17.1963,1693194394.728223,9139778582.888502
2024-01-31,2024-02-01,15.4727,16.0199,15.1058,15.391,1282134245.8188152,8890103990.547039
2024-01-30,2024-01-31,15.0051,15.7598,14.9118,15.4516,879165884.9616724,8668644370.268293
2024-01-29,2024-01-30,14.4444,15.068,14.3079,14.9885,754295398.5470383,8365111525.491289
2024-01-28,2024-01-29,14.339,14.676,14.2343,14.5128,530917148.087108,8208665701.1986065
2024-01-27,2024-01-28,14.1867,14.386,14.1082,14.3355,572525314.7351916,8105018138.027875
2024-01-26,2024-01-27,13.7182,14.2861,13.6641,14.1841,652499998.8536586,7954468280.926829
2024-01-25,2024-01-26,14.2217,14.2433,13.5445,13.7845,719764315.6550523,7876625916.585366
2024-01-24,2024-01-25,14.2849,14.4221,13.9406,14.257,974923927.261324,8040190607.484321
2024-01-23,2024-01-24,14.6384,14.8734,13.6185,14.2793,1212356906.958188,8106112373.79791
2024-01-22,2024-01-23,15.4346,15.8636,14.5361,14.5587,1032320319.8954704,8631224793.12892
2024-01-21,2024-01-22,15.7104,15.8708,15.4007,15.4007,900413553.020906,8870673981.860628
2024-01-20,2024-01-21,16.0063,16.5219,15.6817,15.746,1757590726.4599304,9080370567.77352
2024-01-19,2024-01-20,14.7256,16.3284,14.4962,16.0317,1317638178.2334495,8615507228.651567
2024-01-18,2024-01-19,15.729,15.729,14.2882,14.6606,1201514918.8954704,8587998323.749129
2024-01-17,2024-01-18,15.282,16.329,15.282,15.7454,1186492327.533101,8983148472.571428
2024-01-16,2024-01-17,15.2006,15.3364,14.7929,15.2636,909404027.4320557,8601213675.05575
2024-01-15,2024-01-16,14.8753,15.986,14.8311,15.2126,1320538654.1567943,8786768189.574913
2024-01-14,2024-01-15,14.3795,15.3397,14.2836,14.7888,831431589.1672474,8485200139.313589
2024-01-13,2024-01-14,14.1632,14.4218,13.871,14.3594,875228160.8710802,8067221873.003485
2024-01-12,2024-01-13,15.0008,15.2685,13.7659,14.129,973366190.4425087,8353262583.254355
2024-01-11,2024-01-12,15.0386,15.6526,14.6274,15.0227,1290971548.195122,8541866428.752613
2024-01-10,2024-01-11,13.7171,15.3179,13.592,14.9922,1032704738.543554,7994575347.069686
2024-01-09,2024-01-10,14.183,14.2529,13.4055,13.7065,2669038928.2961674,7844001736.5958185
