Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,59.0391,60.8996,58.2653,60.8698,88798694.90940766,1414971814.9059234
2024-02-13,2024-02-14,58.023,60.8866,57.7912,59.368,118820982.55749129,1403287522.7665505
2024-02-12,2024-02-13,55.8079,58.8221,55.2432,57.7858,70496902.62020905,1349735256.2787457
2024-02-11,2024-02-12,56.8204,56.8204,55.1506,55.8064,58107137.08362369,1333666351.5261323
2024-02-10,2024-02-11,55.4596,57.6362,55.1015,56.9408,73181850.09059234,1343347069.71777
2024-02-09,2024-02-10,53.9428,55.4694,53.9026,55.4694,69604195.95121951,1297854185.783972
2024-02-08,2024-02-09,53.579,55.3474,53.1464,53.9892,69425456.32055749,1280771254.4912891
2024-02-07,2024-02-08,52.578,53.5088,50.9722,53.4352,46452514.139372826,1235530940.3205576
2024-02-06,2024-02-07,53.4119,53.7853,52.3008,52.6062,43765028.55400697,1259951043.6167247
2024-02-05,2024-02-06,53.4745,54.2612,52.5556,53.2624,38002503.7456446,1267151631.0487804
2024-02-04,2024-02-05,53.9582,54.2739,52.816,53.4075,38476303.05923345,1273196031.5574913
2024-02-03,2024-02-04,55.3684,55.6737,53.9559,53.9559,55846762.898954704,1298295558.2787457
2024-02-02,2024-02-03,53.2723,56.9016,53.2723,55.3751,90029118.91289198,1318983651.8885016
2024-02-01,2024-02-02,53.4199,53.5349,51.5269,53.3587,98692712.38675958,1245145773.5853658
2024-01-31,2024-02-01,57.2929,57.2929,52.341,53.1865,100423090.31707317,1314872133.9756098
2024-01-30,2024-01-31,55.8993,58.9384,55.2337,56.9077,87761897.32404181,1351073437.4703832
2024-01-29,2024-01-30,52.7804,55.8909,52.6804,55.7767,66134488.73867596,1287688588.2473867
2024-01-28,2024-01-29,53.6666,54.2192,52.3818,53.1429,50803878.547038324,1267631042.0905924
2024-01-27,2024-01-28,51.834,53.8549,51.2202,53.4975,48735915.801393725,1244915755.6271777
2024-01-26,2024-01-27,49.008,52.0616,48.5854,51.8377,47506237.07665505,1198023794.0383275
2024-01-25,2024-01-26,49.8171,49.8171,47.8911,48.9724,52266905.79790941,1162208923.0940766
2024-01-24,2024-01-25,48.7561,50.9252,48.5527,49.8513,69123023.94773519,1177425013.9477353
2024-01-23,2024-01-24,49.7305,51.0447,46.4102,48.7461,80678091.03135888,1150454932.2787457
2024-01-22,2024-01-23,51.5852,52.3545,48.9824,49.6297,60619911.547038324,1210064215.3135889
2024-01-21,2024-01-22,52.3976,52.9085,51.6126,51.6126,56553751.29616725,1244967179.5505226
2024-01-20,2024-01-21,50.6154,53.2901,50.4301,52.5234,75833601.71777004,1230129240.1184669
2024-01-19,2024-01-20,51.5737,52.0036,48.0474,50.699,70937201.94773519,1198336656.2369337
2024-01-18,2024-01-19,54.5733,54.5733,50.6408,51.4662,70115658.51916376,1252959452.8501742
2024-01-17,2024-01-18,56.8037,57.5561,53.8223,54.6533,114265005.36585365,1309728571.2229965
2024-01-16,2024-01-17,53.4201,56.3532,53.4201,55.3033,95823056.7630662,1307862003.7665505
