Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,283.8603,293.7402,282.0039,287.4759,12206755.160278745,740675435.010453
2024-02-13,2024-02-14,274.9205,286.6491,272.1617,285.4021,15444666.048780488,723984184.2055749
2024-02-12,2024-02-13,256.0693,274.8896,252.0266,270.8991,7601979.167247387,669551512.7317073
2024-02-11,2024-02-12,245.1664,258.0554,245.1664,256.0824,4044647.4773519165,648390860.4146341
2024-02-10,2024-02-11,246.7672,249.55,245.192,246.193,5217074.745644599,639978903.1672474
2024-02-09,2024-02-10,240.6577,249.4175,240.6082,246.7983,6614034.8989547035,636576731.3414634
2024-02-08,2024-02-09,246.3222,251.5791,242.0452,242.0452,7366347.257839722,640191682.5365853
2024-02-07,2024-02-08,237.1578,245.8731,235.6408,245.0892,6949869.031358885,619413567.3832753
2024-02-06,2024-02-07,233.2798,238.4555,230.2205,235.8423,10919080.205574913,602502337.8641115
2024-02-05,2024-02-06,217.4932,237.7074,216.269,231.3043,9249278.714285715,581324329.8989547
2024-02-04,2024-02-05,216.5476,221.0128,215.7205,218.0533,5860672.644599303,562691615.3031359
2024-02-03,2024-02-04,215.9026,217.8068,215.0328,216.595,5412620.153310104,559365040.4982579
2024-02-02,2024-02-03,215.741,216.3227,213.6578,214.0584,7154329.006968641,556085250.6062717
2024-02-01,2024-02-02,215.0546,217.1293,209.7296,215.0573,8358229.651567944,550914087.8850174
2024-01-31,2024-02-01,232.8224,237.097,213.4302,214.8778,20054679.780487806,577379171.979094
2024-01-30,2024-01-31,220.4389,259.3795,218.5368,229.5623,13644453.05923345,579395716.6271777
2024-01-29,2024-01-30,209.1257,221.601,209.1257,220.876,6789076.362369338,555770370.2020906
2024-01-28,2024-01-29,211.5474,213.998,208.7626,209.6788,5962058.703832753,548761602.5017421
2024-01-27,2024-01-28,212.6502,215.2855,211.1985,211.4444,7424645.174216028,552345690.630662
2024-01-26,2024-01-27,203.959,211.9911,202.7157,211.1983,7102766.756097561,539300799.9094076
2024-01-25,2024-01-26,203.3343,206.4364,198.8679,204.4873,11582482.881533101,524548477.37979096
2024-01-24,2024-01-25,199.2099,202.3093,195.2588,201.8869,11992759.285714285,516647953.8954704
2024-01-23,2024-01-24,203.7037,207.4276,192.1805,198.6731,8300958.2160278745,516438621.31010455
2024-01-22,2024-01-23,214.5191,216.1504,203.0388,203.0388,7024400.139372822,542555511.4181185
2024-01-21,2024-01-22,212.8308,217.4585,211.2992,216.0634,6266630.843205575,553882949.4529617
2024-01-20,2024-01-21,210.0284,213.6261,209.9316,212.6343,7987717.62020906,548867164.7630662
2024-01-19,2024-01-20,208.0945,212.7221,204.486,210.888,10365232.146341464,540569757.5714285
2024-01-18,2024-01-19,216.2916,219.4536,206.5155,208.4771,9094149.780487806,554594559.2473868
2024-01-17,2024-01-18,219.526,221.2734,213.6134,215.716,8897256.783972126,559795220.7351916
2024-01-16,2024-01-17,207.8123,221.0309,207.5739,219.3327,7329633.010452962,550338180.6829268
2024-01-15,2024-01-16,204.9671,210.8543,204.9671,207.5447,7411794.87456446,540965169.5958188
2024-01-14,2024-01-15,212.3285,212.8479,206.3515,206.3515,8475678.644599304,543266455.2543554
2024-01-13,2024-01-14,207.115,213.2914,203.3076,211.9018,11602180.75261324,540107492.6515679
2024-01-12,2024-01-13,209.5649,216.4419,202.4879,206.1806,10083972.334494773,542305975.2752613
2024-01-11,2024-01-12,205.8343,215.6534,205.2938,209.4617,17749036.038327526,542824333.1777004
