Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,36.8399,37.1764,34.5521,34.8136,741608907.0348432,3344589661.3937283
2024-02-12,2024-02-13,35.2578,37.0497,34.1966,36.9239,535932878.32752615,3126881820.512195
2024-02-11,2024-02-12,34.9373,36.6077,34.7597,35.1511,492284130.39721256,3131331884.7630663
2024-02-10,2024-02-11,34.9837,36.0639,34.2678,35.0092,571819624.8745644,3100839309.2543554
2024-02-09,2024-02-10,32.7999,35.5766,32.7875,34.8978,547814834.7595819,3063038760.4529614
2024-02-08,2024-02-09,32.9268,34.143,32.6092,32.8342,471343823.24390244,2942500258.4843206
2024-02-07,2024-02-08,31.2016,33.4094,31.2016,32.875,390108469.1533101,2837820953.383275
2024-02-06,2024-02-07,31.9345,32.5698,31.0832,31.2008,407870182.68292683,2805305150.759582
2024-02-05,2024-02-06,32.3986,33.513,31.5105,31.9335,369808405.83972126,2876738200.825784
2024-02-04,2024-02-05,32.9729,33.4623,32.283,32.3479,339492458.6585366,2918419537.731707
2024-02-03,2024-02-04,34.5147,34.9461,32.5899,33.0015,424682518.0731707,2966555847.4843206
2024-02-02,2024-02-03,33.7288,35.3255,33.5678,34.5957,461134859.1393728,3035020551.247387
2024-02-01,2024-02-02,33.9656,34.6096,33.1951,33.8216,497291049.25087106,2986348005.5783973
2024-01-31,2024-02-01,35.2941,36.0065,33.3956,33.9147,702464518.4599303,3067108344.5191636
2024-01-30,2024-01-31,37.3839,38.1355,35.3811,35.4207,841844925.7874564,3255760599.2891984
2024-01-29,2024-01-30,36.283,39.245,36.2559,37.4448,747741289.3240418,3323179287.327526
2024-01-28,2024-01-29,35.2332,38.466,35.1899,36.3641,609303551.2125436,3243124946.529617
2024-01-27,2024-01-28,33.6306,35.6462,33.6306,35.0302,461385488.9303136,3059789992.1707315
2024-01-26,2024-01-27,31.728,34.4273,31.1583,33.7554,443794311.4912892,2908443690.083624
2024-01-25,2024-01-26,33.0084,33.0601,30.8517,31.8187,460045189.0034843,2815991955.184669
2024-01-24,2024-01-25,32.8131,34.3475,32.0571,33.1344,648404817.0801394,2922929358.1881533
2024-01-23,2024-01-24,33.8699,35.0827,30.4645,32.9135,740037848.4076655,2875011041.428571
2024-01-22,2024-01-23,36.1222,36.3741,33.3451,33.816,518450300.7979094,3048767543.6620207
2024-01-21,2024-01-22,35.4276,37.289,34.9076,35.9758,405080618.74216026,3128779601.8675957
2024-01-20,2024-01-21,35.9551,36.372,34.8441,35.4305,502027180.4320558,3013730743.954704
2024-01-19,2024-01-20,36.0656,37.3517,33.8513,36.0694,612190268.076655,3064211499.634146
2024-01-18,2024-01-19,39.1865,39.1865,35.6291,35.991,580750783.3728223,3160228693.240418
2024-01-17,2024-01-18,40.6781,41.2714,38.6871,39.1845,689415127.4634147,3351747933.5365853
2024-01-16,2024-01-17,41.1668,41.8483,39.6115,40.8021,876914467.1463414,3418042528.1114984
2024-01-15,2024-01-16,37.1404,41.1886,36.9264,40.9714,715124320.7560976,3269122873.303136
2024-01-14,2024-01-15,39.2027,39.5329,36.806,36.806,646297575.5783972,3212366052.062718
2024-01-13,2024-01-14,36.7784,39.308,35.1089,38.9146,724990413.1393728,3096053894.3414636
2024-01-12,2024-01-13,38.464,39.643,35.8775,36.7615,925185627.6376307,3192833030.749129
2024-01-11,2024-01-12,40.6994,42.1209,38.1285,38.6191,1332214105.8083625,3332209279.8745646
2024-01-10,2024-01-11,39.4364,42.5241,37.048,40.7794,1138701103.512195,3283859035.8954706
2024-01-09,2024-01-10,42.3561,45.1479,39.8186,40.0418,1456204097.533101,3548343848.163763
2024-01-08,2024-01-09,36.6954,43.0486,34.0199,42.1562,1107493069.477352,3302278983.8745646
2024-01-07,2024-01-08,39.5958,40.7059,35.8918,36.2965,884652600.2648084,3165655841.160279
2024-01-06,2024-01-07,38.288,40.1181,35.3133,39.9767,896976411.2090592,3153836268.7665505
2024-01-05,2024-01-06,38.3706,39.3573,35.5245,38.6123,974544718.7979094,3127465613.045296
2024-01-04,2024-01-05,34.0725,40.4321,33.755,38.5018,1005111126.9407666,3095226961.4216027
2024-01-03,2024-01-04,37.1464,37.8196,31.7061,34.2164,862413289.2543554,2975700078.672474
2024-01-02,2024-01-03,39.5533,40.9626,36.8949,37.0785,753060378.020906,3242652878.2229967
2024-01-01,2024-01-02,36.0509,39.8659,35.3254,39.6074,562326028.71777,3118714237.2543554
2023-12-31,2024-01-01,37.5252,38.7225,35.6619,35.7891,706941233.2055749,3149387739.7630663
2023-12-30,2023-12-31,35.7315,37.6911,34.1828,37.3999,635378490.0278746,3015524853.3170733
2023-12-29,2023-12-30,35.6448,37.8115,34.8195,35.7993,721541364.5958188,3035639056.5156794
2023-12-28,2023-12-29,39.1854,39.8784,34.6694,35.6296,735620273.5156795,3085142471.445993
2023-12-27,2023-12-28,38.7826,39.6313,36.596,39.2319,969981742.5993031,3214948320.5052266
2023-12-26,2023-12-27,43.3656,43.3656,36.5173,38.8557,1007511140.3344948,3358153628.5365853
2023-12-25,2023-12-26,40.6897,43.5252,39.9372,43.3807,988498438.2404181,3477539994.5365853
2023-12-24,2023-12-25,41.8226,44.7216,40.6315,40.7644,1432697615.6864111,3541909933.139373
2023-12-23,2023-12-24,38.7695,42.5975,37.3797,42.5975,982070449.6759582,3307591683.43554
2023-12-22,2023-12-23,40.2504,42.3118,37.789,38.5878,1245148967.6341465,3277706387.7770033
2023-12-21,2023-12-22,42.7194,42.8279,38.3909,40.5062,1674586666.3449478,3351147023.891986
2023-12-20,2023-12-21,36.7657,43.1592,36.7657,42.5216,2045673141.369338,3403783159.3135886
2023-12-19,2023-12-20,36.8064,39.9173,36.1973,36.6067,2203591584.327526,3167881024.881533
2023-12-18,2023-12-19,30.4713,36.9067,29.3439,36.7733,1284201290.7560976,2676200191.055749
