Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,13.3099,13.3947,12.6934,12.9374,258320403.02787456,5989148284.808362
2024-02-12,2024-02-13,12.9627,13.4261,12.5784,13.283,209626874.44599304,5964360295.972125
2024-02-11,2024-02-12,13.1713,13.5498,12.9131,12.9818,224635032.9686411,6053566118.292683
2024-02-10,2024-02-11,12.8993,13.4904,12.6279,13.1329,239362846.5783972,5954651018.5818815
2024-02-09,2024-02-10,12.2015,13.0104,12.176,12.8688,215427839.31358886,5789808671.609756
2024-02-08,2024-02-09,12.3213,12.5766,12.1756,12.2209,211942460.46689895,5648515188.188153
2024-02-07,2024-02-08,12.1728,12.3711,11.8063,12.3184,197582493.9163763,5519652908.634147
2024-02-06,2024-02-07,12.2255,12.3901,11.923,12.1387,249036784.60627177,5575063033.090592
2024-02-05,2024-02-06,12.7722,12.9963,12.1096,12.2403,309560022.25087106,5729840639.87108
2024-02-04,2024-02-05,12.7128,13.247,12.4828,12.7568,325271191.9616725,5843910263.456446
2024-02-03,2024-02-04,12.7044,13.6181,12.513,12.7498,454431043.5679442,5993613853.261324
2024-02-02,2024-02-03,11.6515,12.8935,11.6515,12.698,327419477.21254355,5719870376.724739
2024-02-01,2024-02-02,11.5657,11.8101,11.2576,11.66,226190064.0313589,5285811198.878049
2024-01-31,2024-02-01,11.7073,11.9311,11.3074,11.4663,231269888.01045296,5329625576.958188
2024-01-30,2024-01-31,12.4995,12.6131,11.7056,11.7208,235679314.99303135,5558055614.013937
2024-01-29,2024-01-30,12.2967,12.6203,12.0719,12.5575,215743810.77351916,5647583046.808362
2024-01-28,2024-01-29,12.7062,12.9455,12.2131,12.3285,272011850.4843206,5752229921.285714
2024-01-27,2024-01-28,12.1536,12.9738,12.1388,12.7302,346619477.4216028,5708515826.672474
2024-01-26,2024-01-27,11.134,12.5144,10.9951,12.0882,278933987.2369338,5349495024.080139
2024-01-25,2024-01-26,11.504,12.1128,11.0206,11.1707,419053480.26132405,5198756137.8223
2024-01-24,2024-01-25,10.4955,11.6791,10.3782,11.6141,317662484.9756098,4957825340.630662
2024-01-23,2024-01-24,10.4684,10.7761,9.595203536386505,10.4933,277526165.24041814,4679743170.0209055
2024-01-22,2024-01-23,11.1378,11.2659,10.4525,10.4742,189042875.4250871,4952253099.247387
2024-01-21,2024-01-22,11.3887,11.5729,11.0915,11.0962,169319856.4250871,5163610092.662021
2024-01-20,2024-01-21,11.1608,11.6884,10.9936,11.4379,275700135.71428573,5131955049.728223
2024-01-19,2024-01-20,11.5077,11.5077,10.5175,11.2017,352149325.1184669,5086129057.804878
2024-01-18,2024-01-19,12.1424,12.4643,11.3625,11.4933,238048324.32752612,5468577154.069686
2024-01-17,2024-01-18,12.72,12.787,12.0914,12.1047,231636417.4703833,5641261021.543554
2024-01-16,2024-01-17,12.848,13.1149,12.3067,12.6774,294428198.36585367,5788649868.923345
2024-01-15,2024-01-16,12.6667,13.258,12.6425,12.8974,371556363.9721254,5916271765.881533
2024-01-14,2024-01-15,12.8767,13.917,12.612,12.612,484313366.4912892,6039577987.240418
2024-01-13,2024-01-14,12.3066,13.3555,11.984,12.9065,458283161.9756098,5802472151.090592
2024-01-12,2024-01-13,13.0447,13.0584,11.9914,12.2487,427457819.5261324,5760074593.498258
2024-01-11,2024-01-12,13.78,13.801,12.8289,13.0645,628537163.5505227,6014823096.860627
2024-01-10,2024-01-11,12.8191,14.1696,12.2481,13.908,585852495.71777,5838036139.947735
2024-01-09,2024-01-10,13.6339,13.8848,12.2021,12.7013,931546925.3135889,5914486703.191638
2024-01-08,2024-01-09,11.3417,13.7739,10.4406,13.6632,694365682.8815331,5561817489.940766
2024-01-07,2024-01-08,12.0831,12.7201,11.1332,11.2318,381453754.5191638,5466400449.268292
2024-01-06,2024-01-07,13.2598,13.2598,11.8124,12.0652,495979045.22648084,5615661193.066202
2024-01-05,2024-01-06,13.9407,14.4878,12.7543,13.2854,665599596.4738677,6090091015.369338
2024-01-04,2024-01-05,14.297,15.1356,13.6372,13.8694,1375243001.804878,6486003985.700349
2024-01-03,2024-01-04,13.9708,16.257,12.887,14.3751,1764251404.0662022,6694179212.236934
2024-01-02,2024-01-03,12.8424,15.0191,12.6362,13.9502,857902373.1916376,6187006812.494774
2024-01-01,2024-01-02,13.4696,13.9623,12.8042,12.9639,1789442171.857143,6057778406.285714
2023-12-31,2024-01-01,12.0366,15.2317,12.0244,13.2722,2368760025.1324043,6112715915.724739
2023-12-30,2023-12-31,9.432199066513835,12.4919,9.432199066513835,12.3913,616630537.3344948,4762988483.43554
2023-12-29,2023-12-30,9.762899384169481,9.86701141095399,9.132030198415022,9.391103213296386,592988205.1219512,4287940154.108014
2023-12-28,2023-12-29,9.24452339166348,10.4062,9.24452339166348,9.815644310140723,497628394.0418118,4461915078.0069685
2023-12-27,2023-12-28,9.234303803171224,9.43091616795745,8.808880316915054,9.240563358227964,267520784.5400697,4099080207.087108
2023-12-26,2023-12-27,9.555314972103435,9.749062386716254,8.799179185456627,9.265630395781153,295527751.369338,4235076999.860627
2023-12-25,2023-12-26,9.777343232363918,9.860270398572201,9.302990277448325,9.562687529782922,363692153.24738675,4338092507.933798
2023-12-24,2023-12-25,9.635918285188847,10.23,9.367597845699605,9.80643227161799,391597995.12543553,4421032104.052265
2023-12-23,2023-12-24,9.369879105190828,9.485607838744821,8.856168476169808,9.485607838744821,385538925.14285713,4142838352.7839723
2023-12-22,2023-12-23,9.155485709644982,10.8995,9.119985177710372,9.328106916082259,689227250.1428572,4355565892.407665
2023-12-21,2023-12-22,8.793566205568988,9.24457695611017,8.577326953598428,9.182452584854456,469326342.14634144,4043263324.4947734
2023-12-20,2023-12-21,9.374822957871434,9.653728422200166,8.768843460320673,8.865008516135923,488213935.1533101,4200592743.0383277
2023-12-19,2023-12-20,9.746317115726256,10.8645,9.265061543230033,9.330493206753076,758042624.184669,4435154814.756098
2023-12-18,2023-12-19,10.5568,10.6985,9.228442728175889,9.780920489385343,1315761657.6550522,4433588586.456446
2023-12-17,2023-12-18,10.1449,11.563,9.822733163414389,10.5879,2398580009.902439,4867335673.763066
2023-12-16,2023-12-17,7.218488720569393,11.6541,7.10118832222411,10.0227,1462609303.9372823,4140889072.2369337
2023-12-15,2023-12-16,6.339191988127475,7.55389794869444,6.220287546819742,7.19090964902871,317051746.0209059,3067130524.12892
2023-12-14,2023-12-15,6.287275112738448,6.635330433530341,6.185495246400761,6.346810435006176,324664079.19163764,2890853587.87108
2023-12-13,2023-12-14,5.547245512096547,6.363331004916713,5.521593474538468,6.253798120088826,235224081.85314685,2623520504.0314684
