Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,2080.9681,2130.653,2048.1331,2056.8375,124101915.95818815,1922810731.8745644
2024-02-12,2024-02-13,2022.9896,2076.6071,1983.5063,2074.6059,81491872.31010453,1862975604.4599304
2024-02-11,2024-02-12,2006.394,2037.579,1998.281,2026.2622,68565618.6097561,1859699792.0034842
2024-02-10,2024-02-11,1973.8565,2009.4732,1969.9849,2006.1273,78408207.27874565,1839833068.5888503
2024-02-09,2024-02-10,1939.6963,1988.1619,1937.5922,1970.5784,79185119.7804878,1814380657.5818815
2024-02-08,2024-02-09,1947.4625,1960.3864,1921.8592,1939.284,67327426.67944251,1790575347.9198606
2024-02-07,2024-02-08,1951.8178,1963.4651,1924.038,1947.7469,66822860.512195125,1789186176.0731707
2024-02-06,2024-02-07,1949.0508,1962.4868,1911.6919,1953.7095,79983140.06271777,1788563020.3937283
2024-02-05,2024-02-06,1995.0293,2001.3584,1939.8294,1949.373,65084708.50522648,1826672872.1881533
2024-02-04,2024-02-05,2005.1116,2023.6427,1983.7952,1994.6177,62774886.65505227,1852611861.8536584
2024-02-03,2024-02-04,1981.3695,2023.4542,1981.3695,2003.0901,73288676.22299652,1850020189.2439024
2024-02-02,2024-02-03,1995.5848,2008.5166,1960.9108,1981.2986,82320645.47735192,1837270874.5783973
2024-02-01,2024-02-02,1965.3923,1997.4703,1927.079,1997.0439,104812896.88850175,1812789446.6271777
2024-01-31,2024-02-01,2024.2684,2033.6229,1947.0516,1961.6442,115695050.79442509,1836701041.2125435
2024-01-30,2024-01-31,1969.1986,2042.6895,1957.9835,2023.4602,100735229.21254355,1836270563.2334495
2024-01-29,2024-01-30,1954.9784,1989.0127,1934.4583,1976.3515,87787475.27874565,1803766732.337979
2024-01-28,2024-01-29,2002.9128,2027.1418,1954.2165,1961.1283,87740970.58885017,1841386722.867596
2024-01-27,2024-01-28,2080.9519,2091.6501,2000.4273,2002.3276,121353302.87456445,1877310781.533101
2024-01-26,2024-01-27,2102.49,2103.9604,2044.1835,2074.9848,135117766.36585367,1910636041.4076655
2024-01-25,2024-01-26,2124.6804,2143.3119,2082.5683,2092.2081,188608934.9790941,1946493891.662021
2024-01-24,2024-01-25,1928.5322,2124.5727,1925.3403,2124.5727,152932938.3205575,1854386624.6759582
2024-01-23,2024-01-24,1930.1343,1980.5629,1865.2857,1931.8388,134301147.08013937,1773086550.4216027
2024-01-22,2024-01-23,1991.7768,2004.8968,1926.0961,1929.2715,99291967.52961673,1816196807.5400696
2024-01-21,2024-01-22,1971.9005,2012.6819,1971.9005,1991.9836,84255006.70731707,1838526656.1811848
2024-01-20,2024-01-21,1963.6551,1991.3495,1937.7199,1970.1531,126841872.34494774,1811777812.2195122
2024-01-19,2024-01-20,1980.44,2013.5065,1900.1556,1963.8006,169666114.22996515,1817878473.554007
2024-01-18,2024-01-19,1994.2979,2033.7352,1953.8685,1989.9279,140857226.6759582,1839922771.5958188
2024-01-17,2024-01-18,2010.8649,2020.0229,1948.2471,1993.6371,112339589.41463415,1831488278.1289198
2024-01-16,2024-01-17,2018.9655,2055.7925,1973.2594,2012.655,140863470.9965157,1857258319.682927
2024-01-15,2024-01-16,2034.2606,2081.2738,2004.015,2016.5627,151384254.39721254,1871797855.205575
2024-01-14,2024-01-15,2063.6875,2109.1158,2022.6534,2028.0588,159627425.2404181,1907533831.9930313
2024-01-13,2024-01-14,2025.834,2114.0749,2019.117,2069.2741,238589166.39721254,1910384996.097561
2024-01-12,2024-01-13,2142.0352,2187.6237,1980.6222,2025.3814,370509981.912892,1928589704.7351916
2024-01-11,2024-01-12,2037.2893,2243.8514,2014.0232,2144.4393,469443323.21254355,1927388598.5296168
2024-01-10,2024-01-11,1847.7074,2038.0725,1847.7074,2033.196,355346197.76655054,1798273760.2961671
2024-01-09,2024-01-10,1822.7174,1874.0666,1757.9132,1843.2757,310333594.3205575,1677615524.3135889
2024-01-08,2024-01-09,1751.9755,1950.4503,1720.9019,1818.4539,323418610.369338,1650784880.4320557
2024-01-07,2024-01-08,1698.1477,1857.1574,1698.1477,1747.4327,156649943.86062717,1638516884.1254356
2024-01-06,2024-01-07,1740.5733,1778.1034,1696.6337,1699.7466,178289276.1358885,1600622179.132404
