Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,1.4058184043819026,1.5525744945536029,1.3826918250710252,1.4886077029452085,215352234.4216028,1551301591.0696864
2024-02-13,2024-02-14,1.4095754018447586,1.433617830689704,1.3507045358364664,1.408190703537555,189892193.31707317,1465999250.0487804
2024-02-12,2024-02-13,1.3818312845886287,1.4405073376373234,1.3324506166450651,1.4004760777630778,246738008.77003485,1453621809.1254356
2024-02-11,2024-02-12,1.3059340472443701,1.3966440547073902,1.2766943209310682,1.3806798896311037,163437082.83972126,1401144201.0766551
2024-02-10,2024-02-11,1.2756895377270148,1.3475719981522305,1.2712393304040537,1.309541657007335,169586742.46341464,1378586467.958188
2024-02-09,2024-02-10,1.1844103586733132,1.2842965402265718,1.1819323493366416,1.2733234029169067,73799553.78397213,1284736293.71777
2024-02-08,2024-02-09,1.1835100574062203,1.2346732892185524,1.1786847935100815,1.1847319037170132,76911939.0348432,1255128851.512195
2024-02-07,2024-02-08,1.146386836087416,1.1874666233499214,1.1232146076424965,1.1835313695502463,57746081.47735192,1203322983.3031359
2024-02-06,2024-02-07,1.181061297730144,1.1976599455035462,1.1364516420222375,1.1420822694054173,66603262.041811846,1215519944.6062717
2024-02-05,2024-02-06,1.1687523787497867,1.2194685519893755,1.1426741050003142,1.1804378917477845,75756071.30662021,1233894087.2648084
2024-02-04,2024-02-05,1.2019503777627678,1.2288801471374011,1.1654717209110432,1.1686856461376791,74392209.11498258,1250469406.6376307
2024-02-03,2024-02-04,1.2305217750155446,1.2511785636423953,1.1924459847092155,1.1978145708405208,100797315.85714285,1263307231.337979
2024-02-02,2024-02-03,1.2117038676975433,1.277475293229341,1.2117038676975433,1.2373042037882316,206142347.5749129,1307070376.7351916
2024-02-01,2024-02-02,1.1467832807718608,1.2387743348655027,1.1127476386702948,1.2145431806532212,204862501.2055749,1233404172.0348432
2024-01-31,2024-02-01,1.1309332570138702,1.1947769324171726,1.1046545459968393,1.1488939189744203,143338431.83275262,1198018494.1080139
2024-01-30,2024-01-31,1.1148775856619975,1.205297546006344,1.1148059717054841,1.1292259606359805,124346505.05574913,1219609052.7804878
2024-01-29,2024-01-30,1.0585274660101969,1.1309943124089665,1.0585274660101969,1.1197432842582298,65379610.93728223,1139460829.5958188
2024-01-28,2024-01-29,1.0927433628702377,1.1185664937661473,1.0553978834247133,1.0654814196692823,63808643.167247385,1136444646.132404
2024-01-27,2024-01-28,1.086975723372609,1.1066960666923857,1.06826277134247,1.0916223091906294,79734171.81184669,1134855027.7351916
2024-01-26,2024-01-27,0.9989822303125822,1.0939608519995807,0.9853686500418073,1.0939608519995807,68664545.28571428,1083824238.121951
2024-01-25,2024-01-26,1.0440817266248583,1.0440817266248583,0.9849842250238263,1.0033825899437008,73498017.44599304,1051295638.4843205
2024-01-24,2024-01-25,1.041318448803443,1.059175316801355,1.0162316366219886,1.0471781983154969,121865767.9825784,1077272130.3066201
2024-01-23,2024-01-24,1.0337826635543328,1.0521667322154926,0.945721024220157,1.0443906796508375,118112950.81533101,1043234112.066202
2024-01-22,2024-01-23,1.1257147186142937,1.128601226000876,1.0262221253918085,1.0299438313731095,88903112.06620209,1109806194.7874565
2024-01-21,2024-01-22,1.1339075910046386,1.1723986785223448,1.12525222313174,1.12525222313174,69685711.4912892,1193916723.4703832
2024-01-20,2024-01-21,1.1572019845379036,1.1572019845379036,1.1126199339993814,1.1247779422132704,100501048.77700348,1173809741.216028
2024-01-19,2024-01-20,1.215733444540665,1.215733444540665,1.10585570845725,1.1692993899282957,151705138.728223,1213748127.3867595
2024-01-18,2024-01-19,1.310876964373105,1.3207230878600666,1.1833656368008445,1.2152832903824173,150035036.94425088,1306374526.3135889
2024-01-17,2024-01-18,1.3005228054050466,1.3214998480306897,1.2465785183311084,1.3214998480306897,156463522.7839721,1324461123.804878
2024-01-16,2024-01-17,1.2320055997114439,1.310000865152739,1.2239703742494394,1.2771788268231914,173957474.73519164,1312884074.672474
2024-01-15,2024-01-16,1.1600020836976406,1.2251002679180705,1.1581531853644274,1.216609359695979,94329537.09059234,1238812112.0731707
2024-01-14,2024-01-15,1.2219444218655624,1.2333130099932026,1.1519612633797796,1.1519612633797796,98705758.83623694,1245258727.707317
2024-01-13,2024-01-14,1.2162559604253596,1.2418236351300982,1.1549397463890263,1.2218865904926288,189846433.37630662,1253982800.867596
2024-01-12,2024-01-13,1.3001640408887523,1.3194087828834726,1.1709624139686914,1.209775707818569,245435467.4912892,1304141734.7247386
2024-01-11,2024-01-12,1.2178146013967028,1.3410767525288767,1.1866209797931537,1.3078577431096783,322041489.24041814,1305225893.4912891
2024-01-10,2024-01-11,1.1027892792210519,1.2700471634162684,1.0588160778099105,1.2191737240070852,249883534.68641114,1163156347.0243902
2024-01-09,2024-01-10,1.1973670695442438,1.23193692744501,1.0873565111817984,1.1150061201410033,297121097.1184669,1188469075.3658535
2024-01-08,2024-01-09,1.0749902705094543,1.208527622866968,0.9528500013222942,1.1904244274036273,265838509.68292683,1113926777.9442508
2024-01-07,2024-01-08,1.1177780152283545,1.1879261237219112,1.0561253823852177,1.0659216881505285,206998259.59581882,1167457880.8850174
2024-01-06,2024-01-07,1.2181219636869458,1.2181219636869458,1.0822381625645427,1.1184213277667603,228423389.5087108,1162643142.3414633
2024-01-05,2024-01-06,1.305440089774015,1.325476221692131,1.181684356027326,1.225716343215291,288484172.1393728,1262977488.2334495
2024-01-04,2024-01-05,1.362525158142643,1.386869210118888,1.2641483514503418,1.312149935103785,410133619.4843206,1362989661.0801394
2024-01-03,2024-01-04,1.478661710106746,1.5420910502065823,1.232161991913228,1.3716634898206488,435078355.6062718,1475744358.0766551
2024-01-02,2024-01-03,1.5623790696961242,1.6887220990889067,1.4625252704312608,1.4672197485952152,416897665.4703833,1613097530.1045296
2024-01-01,2024-01-02,1.3643681716534304,1.552820203219274,1.3250742091302883,1.5392735387061898,234088298.79094076,1460507060.2682927
2023-12-31,2024-01-01,1.4491963522347378,1.492633275817116,1.3538162767999329,1.35751803925636,370041008.4181185,1460023630.6864111
2023-12-30,2023-12-31,1.3684636672419546,1.4743021834434606,1.3080634268402291,1.451421837874472,377403600.9686411,1401324148.728223
2023-12-29,2023-12-30,1.277442278579122,1.401473786528809,1.2065873904295552,1.3631969747369093,388724018.5958188,1339031457.0174215
2023-12-28,2023-12-29,1.3447283162619192,1.3656149155212574,1.2218710259537509,1.2668195893778016,407025564.5191638,1318258741.1254356
2023-12-27,2023-12-28,1.3877196436176025,1.484044572125479,1.3243956688407508,1.330631438434493,823690865.3519164,1414294486.6898954
2023-12-26,2023-12-27,1.177525945325299,1.4235830795848912,1.101293299729601,1.3868163311898827,418044073.18118465,1227011605.5853658
2023-12-25,2023-12-26,1.190281856433004,1.3108975036005635,1.167980968875886,1.171026473732554,711185961.1463414,1242048381.1777003
2023-12-24,2023-12-25,1.0281513880655406,1.2831413580814077,0.98711852723651,1.1661909174499725,731754760.020906,1176769330.5156794
2023-12-23,2023-12-24,0.8860957278876189,1.0623952406611066,0.8788554322267396,1.0358540608553504,182211649.33101046,956385566.9686412
2023-12-22,2023-12-23,0.8907058231688698,0.9186951927306921,0.8524596602787312,0.890168612307005,179163018.61672473,902293429.6167247
2023-12-21,2023-12-22,0.8568586053665261,0.9511927027161949,0.8424327325127358,0.885142354418626,316048143.0731707,913738428.4912893
2023-12-20,2023-12-21,0.7717787953313963,0.9414870356849919,0.7717787953313963,0.8594843789317799,265253521.29965156,876557093.6132404
2023-12-19,2023-12-20,0.725828334618858,0.7834543092181183,0.7248799554347141,0.7768912285589559,87863315.6271777,771004955.3937283
2023-12-18,2023-12-19,0.7427476305810319,0.7463144023361515,0.6773221534050867,0.7299108915281987,63997657.919860624,724428103.8745644
2023-12-17,2023-12-18,0.7725006268885843,0.7786413587457987,0.739545993320385,0.7430957467361166,56956329.50522648,773157205.7874564
2023-12-16,2023-12-17,0.74798624250921,0.7864415683542064,0.733321765597556,0.7707702532355568,54889275.578397214,783170503.2334495
2023-12-15,2023-12-16,0.7968933705282305,0.7968933705282305,0.7424539758266216,0.7439561521933739,69798069.51916376,782331657.5017421
2023-12-14,2023-12-15,0.7917553705889188,0.8018888035214606,0.7609817865443536,0.7968217108355019,77307359.31010453,798769448.3031359
2023-12-13,2023-12-14,0.7821676263520627,0.8002757231901998,0.7370598297777098,0.7932901136964134,110273530.83916084,779197707.9895105
2023-12-12,2023-12-13,0.8201197295090001,0.8406596811909874,0.7696808869735421,0.7929644167944996,182053970.82229966,818033953.195122
2023-12-11,2023-12-12,0.860719967881825,0.9081533626385209,0.7700485874635701,0.8151374198088887,355762101.80985916,833584874.9823943
2023-12-10,2023-12-11,0.7587763883011484,0.8703977805825154,0.7570137377712807,0.8624015920381566,156117380.63763067,826702409.010453
2023-12-09,2023-12-10,0.7786363734026304,0.8078320775325758,0.7505400629964141,0.7545898309548795,87689791.85714285,792287392.3484321
2023-12-08,2023-12-09,0.7491462392020614,0.7822062126898693,0.7416960667027769,0.7780111627189541,71576089.90940766,769230870.1289198
2023-12-07,2023-12-08,0.7277211864594747,0.7521472089155936,0.7066670025343186,0.7483392078148949,71773334.47038327,742075218.7526132
2023-12-06,2023-12-07,0.7674474094091193,0.7865858435639695,0.7252247450837188,0.7279859576762232,105344584.48780487,756992404.0731708
2023-12-05,2023-12-06,0.7510892710532941,0.7676435511418332,0.7292085967080407,0.7660647073308325,115977535.63066202,755475771.8501742
2023-12-04,2023-12-05,0.7354629696573096,0.7625266576584401,0.7117866360272694,0.7564804487309792,88314964.04878049,749797206.1428572
2023-12-03,2023-12-04,0.756847717716412,0.756847717716412,0.72311414386678,0.7371954759993632,68634714.00348432,747312180.28223
2023-12-02,2023-12-03,0.7524308941368723,0.7688700536657976,0.7412399431464683,0.7581347317668249,76933323.81881534,757717353.9268292
2023-12-01,2023-12-02,0.7158391693461585,0.7668331156328567,0.7158391693461585,0.7535041126867368,89791395.02797203,746373089.6048951
2023-11-30,2023-12-01,0.6989261441532992,0.7441635060253091,0.6989261441532992,0.7131485243900562,109862794.23958333,728559858.9965278
2023-11-29,2023-11-30,0.7397557510172207,0.7473614947593962,0.695750870273498,0.6972874235933114,110517355.48958333,725001058.2743056
2023-11-28,2023-11-29,0.7037957668253504,0.741755142246184,0.6721003457294114,0.7389331484101741,108314703.5451389,710614391.9201388
2023-11-27,2023-11-28,0.7530420214148622,0.7530420214148622,0.6797235558744772,0.7021367909088042,134513691.8466899,711633389.4668989
2023-11-26,2023-11-27,0.805283041503336,0.8137915793730007,0.7422495284594608,0.7530783351938358,238383103.02807018,776775140.8280702
2023-11-25,2023-11-26,0.7518566405815222,0.8721720278010489,0.7446412842859037,0.8048055020652163,434355659.17421603,819056766.2404181
2023-11-24,2023-11-25,0.6921849285579657,0.7694329847243209,0.6763429587582653,0.7493225534631676,254461700.4773519,731669352.3414634
2023-11-23,2023-11-24,0.6282816213214667,0.7033265678188028,0.6282816213214667,0.6861618031019687,115737861.44250871,670691488.4006969
2023-11-22,2023-11-23,0.5851602174070226,0.6346418945109944,0.5851602174070226,0.6265950312555122,93572263.34494774,615627461.6724739
2023-11-21,2023-11-22,0.6456507647018264,0.66465257624291,0.5820728016036313,0.5820728016036313,108077695.38327526,639071672.1114982
2023-11-20,2023-11-21,0.6274517225620361,0.6704431321802135,0.6274517225620361,0.6393577257149676,111565050.54703833,652416678.1811846
2023-11-19,2023-11-20,0.6055482822175868,0.630782506850373,0.5917194235580125,0.6294769253958497,74941754.30662021,611230236.3066202
2023-11-18,2023-11-19,0.6043620279624952,0.6347852649251374,0.5789472128769153,0.6100916966076998,81684869.16376306,605115539.0836236
2023-11-17,2023-11-18,0.5993673168625114,0.616679722069841,0.5788756483689937,0.6030638306718047,76560642.90243903,604225601.9059234
2023-11-16,2023-11-17,0.6300194087294878,0.6474571675562092,0.5853180869679245,0.6006091816925064,74406130.6271777,623638970.7560976
2023-11-15,2023-11-16,0.5950022765988389,0.6333194181341918,0.5937876610418067,0.6320461331972319,83120782.63414635,615019437.2926829
2023-11-14,2023-11-15,0.6267353715037074,0.6354490397740147,0.5707954322305708,0.5947362067229318,92216949.8989547,613690381.0836236
2023-11-13,2023-11-14,0.663502496799743,0.6810020161444339,0.6262950230380098,0.6294722569550414,79278179.00696865,654016188.5714285
2023-11-12,2023-11-13,0.6777293500672288,0.6817673718489529,0.6454237702180439,0.6678289029170906,105903443.80836236,667531196.7038327
2023-11-11,2023-11-12,0.6966174281105562,0.7045943778997789,0.6559281536697039,0.6795293206462406,112139536.43554007,678961445.7351916
