Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,127.384,128.5179,123.4106,127.8023,230636162.88850173,2308974180.184669
2024-02-12,2024-02-13,121.0597,127.9415,118.7368,126.6199,182516915.95470384,2245979913.087108
2024-02-11,2024-02-12,119.6378,123.2504,117.7246,120.7948,202104123.09756097,2218013873.0069685
2024-02-10,2024-02-11,122.2188,123.657,115.8897,119.4143,239352648.11149827,2207571804.878049
2024-02-09,2024-02-10,127.4077,128.5939,120.2827,122.5371,369231398.3066202,2278765109.3937283
2024-02-08,2024-02-09,130.555,132.4247,118.7652,128.149,700535290.1881533,2297835677.3867598
2024-02-07,2024-02-08,104.2872,134.5424,104.2872,130.4568,1648231791.5017421,2303031063.6829267
2024-02-06,2024-02-07,164.6207,166.346,101.4138,105.0406,462613757.3066202,2471014796.2020907
2024-02-05,2024-02-06,166.0812,167.7145,163.3686,165.1889,86404150.65853658,3042915887.9059234
2024-02-04,2024-02-05,165.0449,167.4122,164.8678,165.7878,87408009.63414635,3051828419.3972125
2024-02-03,2024-02-04,168.7179,169.4944,162.4237,164.8902,101085496.99303135,3073311931.7665505
2024-02-02,2024-02-03,165.6315,170.3659,165.5341,168.2358,122618378.96167247,3083605388.379791
2024-02-01,2024-02-02,164.1983,168.7912,163.9739,166.4166,155444596.07665506,3067289199.1498256
2024-01-31,2024-02-01,159.9319,166.1809,158.52,164.8598,138597277.0487805,2994085697.707317
2024-01-30,2024-01-31,167.6825,171.5969,159.9909,160.0775,148583817.41811848,3033971876.30662
2024-01-29,2024-01-30,160.0256,169.2161,159.75,167.9245,104342894.80139373,3022527166.2090592
2024-01-28,2024-01-29,159.8681,161.8613,158.9623,160.5373,77557562.15679443,2949713613.773519
2024-01-27,2024-01-28,159.5549,161.4813,157.489,160.1446,98823678.21602787,2935674298.0278745
2024-01-26,2024-01-27,157.4584,161.6841,156.1626,159.2914,112579984.32055749,2912829774.12892
2024-01-25,2024-01-26,152.5305,157.5598,152.0736,157.4685,99127847.31010453,2856068720.101045
2024-01-24,2024-01-25,150.1745,155.3143,149.1509,152.6426,110302638.55400696,2798766224.2369337
2024-01-23,2024-01-24,151.3022,154.2239,146.7201,150.1471,128576695.41463415,2764132794.550523
2024-01-22,2024-01-23,157.8441,159.8132,149.9663,150.2608,139077506.90243903,2853036989.714286
2024-01-21,2024-01-22,156.5204,161.9489,155.6431,157.9937,122254879,2913664088.4982576
2024-01-20,2024-01-21,157.5875,158.8351,156.0408,156.5896,123021696,2888332166.2752614
2024-01-19,2024-01-20,153.2114,158.2412,150.1846,157.6744,130227040.52961673,2819359617.6236935
2024-01-18,2024-01-19,157.9759,162.3402,152.0391,152.9974,149884714.7665505,2883132794.585366
2024-01-17,2024-01-18,157.1616,159.7618,155.778,157.638,133127162.95470384,2899746673.752613
2024-01-16,2024-01-17,157.796,159.5224,154.0476,157.2044,144983390.33101046,2885513603.567944
2024-01-15,2024-01-16,154.4079,158.2011,153.7239,157.1306,126300291.72125435,2861501242.550523
2024-01-14,2024-01-15,154.9616,159.1858,153.6914,154.0005,116525303.45993032,2888115280.728223
2024-01-13,2024-01-14,152.1408,155.8303,148.8269,155.2124,158720360.01045296,2813778581.1533103
2024-01-12,2024-01-13,152.5109,160.5993,149.7698,151.6149,192667987.2020906,2846962106.8118467
2024-01-11,2024-01-12,149.3372,154.5531,148.9196,152.5801,184412402.9303136,2793142588.5052266
2024-01-10,2024-01-11,144.4705,151.2327,144.2256,149.0868,150050212.26132405,2723232148.261324
2024-01-09,2024-01-10,147.8892,148.6488,143.3619,144.6732,179287870.5226481,2701268959.8432055
2024-01-08,2024-01-09,147.4058,154.1998,145.0357,148.3313,152748867.10801393,2764244474.101045
2024-01-07,2024-01-08,152.618,155.0096,145.756,146.718,123928807.45644599,2790634014.5923343
2024-01-06,2024-01-07,155.1848,158.4027,150.4327,152.4469,173376671.2369338,2832103817.9860625
2024-01-05,2024-01-06,164.1601,164.5598,153.9851,155.5452,207177229.7108014,2926994170.7630663
2024-01-04,2024-01-05,154.5274,164.4957,150.4743,164.2636,209606532.5226481,2907364183.4738674
2024-01-03,2024-01-04,166.9644,169.3761,152.1201,154.4661,175799182.271777,2980021304.902439
2024-01-02,2024-01-03,169.0931,173.6526,167.2397,167.8124,139067841.15679443,3127789269.979094
