Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,49.986,50.5918,49.0346,49.5202,11704305.68292683,2997037839.7212543
2024-02-12,2024-02-13,49.745,49.9378,48.9214,49.8845,8747515.505226482,2967715003.4843206
2024-02-11,2024-02-12,49.8337,49.9854,49.0499,49.7468,7739914.275261324,2978379219.512195
2024-02-10,2024-02-11,49.5036,50.4183,49.3293,49.8543,8869134.414634146,2988879742.160279
2024-02-09,2024-02-10,49.302,49.8692,48.9903,49.4879,9631663.825783972,2967347017.4216027
2024-02-08,2024-02-09,48.4907,49.7853,48.2497,49.4075,10368075.512195121,2931000397.2125435
2024-02-07,2024-02-08,48.1751,48.4589,47.5491,48.4589,6744716.341463415,2881169644.5993032
2024-02-06,2024-02-07,48.4011,48.5184,48.0795,48.1974,6271366.515679442,2898823986.062718
2024-02-05,2024-02-06,48.3189,49.0301,48.2055,48.379,6519346.972125435,2907678898.954704
2024-02-04,2024-02-05,48.9627,48.9627,48.1284,48.3136,6256478.50174216,2906605484.3205576
2024-02-03,2024-02-04,48.365,49.3259,48.365,48.9433,8367684.341463415,2936681226.4808364
2024-02-02,2024-02-03,48.9816,49.3006,48.1344,48.3444,14243534.083623694,2918693393.728223
2024-02-01,2024-02-02,49.595,49.9768,47.3409,49.0401,32481650.759581883,2918927372.8222995
2024-01-31,2024-02-01,52.6444,52.6444,49.3146,49.3146,18386285.25087108,3103121435.5400696
2024-01-30,2024-01-31,52.1711,53.4797,51.1764,52.5318,20783049.020905923,3151499895.470383
2024-01-29,2024-01-30,52.3266,52.4127,51.3053,52.2081,13427867.414634146,3125901470.383275
2024-01-28,2024-01-29,53.275,53.5132,51.7507,52.2185,13436879.790940767,3157182397.2125435
2024-01-27,2024-01-28,54.263,54.263,52.7235,53.2686,26775890.43902439,3205383554.0069685
2024-01-26,2024-01-27,50.1764,54.8631,50.014,54.275,36329191.75609756,3166654557.491289
2024-01-25,2024-01-26,47.6321,50.3951,47.3944,50.1779,17547819.26132404,2940874787.456446
2024-01-24,2024-01-25,47.255,48.0516,46.0152,47.7505,60661491.06620209,2833935303.1358886
2024-01-23,2024-01-24,52.3421,52.5786,45.5863,47.2234,68904997.58885017,2930798529.616725
2024-01-22,2024-01-23,54.0219,54.0219,52.3046,52.3046,6485965.972125435,3182078613.240418
2024-01-21,2024-01-22,53.7233,54.1133,53.5482,54.0267,5436367.156794425,3232008418.118467
2024-01-20,2024-01-21,53.1421,53.7917,53.0821,53.6327,7014380,3206749839.7212543
2024-01-19,2024-01-20,54.3171,54.4327,52.6584,53.2012,7816285.962352613,3210979463.414634
2024-01-18,2024-01-19,54.9405,55.136,53.627,54.2432,8329113.439024391,3265153087.108014
2024-01-17,2024-01-18,54.6021,55.5822,54.3015,54.9009,8153594.37630662,3281010397.2125435
2024-01-16,2024-01-17,54.1802,54.8002,53.9719,54.6198,7678826.083623693,3259526466.898955
2024-01-15,2024-01-16,53.0984,54.9436,53.0984,54.1426,9748463.797909407,3244563763.066202
2024-01-14,2024-01-15,53.9949,54.2314,53.108,53.1111,6958132.341463415,3223163017.4216027
2024-01-13,2024-01-14,53.3371,53.9754,52.7378,53.9665,12143712.87456446,3211038439.02439
2024-01-12,2024-01-13,54.403,54.5897,52.8929,53.3724,15855638.50174216,3240590090.5923343
2024-01-11,2024-01-12,54.9196,56.1662,53.997,54.3902,19515650.80487805,3289628634.1463413
2024-01-10,2024-01-11,53.5412,55.0954,53.2573,54.9368,9719374.163763067,3237180606.271777
2024-01-09,2024-01-10,54.9336,54.9843,53.0879,53.535,9556242.700348431,3227480404.181185
2024-01-08,2024-01-09,53.9771,55.1199,52.5101,54.8753,8430387.94076655,3234747177.7003484
2024-01-07,2024-01-08,54.5601,54.9674,53.8175,53.9259,5383177.463414635,3275299505.226481
2024-01-06,2024-01-07,55.4806,55.4806,54.4086,54.5742,8729432.735191638,3286781414.634146
2024-01-05,2024-01-06,54.9814,55.8115,54.2982,55.4093,10093329.613240419,3290285749.12892
2024-01-04,2024-01-05,54.1581,55.0547,53.882,54.9504,14240830.351916377,3266075958.1881533
2024-01-03,2024-01-04,55.6304,56.4331,53.4535,54.1049,14453639.017421603,3305009456.445993
2024-01-02,2024-01-03,55.8792,56.9578,55.3522,55.7086,11846534.839721255,3365415512.195122
2024-01-01,2024-01-02,54.8527,55.799,54.3173,55.799,6740237.020905923,3298209951.219512
2023-12-31,2024-01-01,54.824,55.24,54.6519,54.8129,6485947.968641115,3295118069.6864114
2023-12-30,2023-12-31,54.9881,55.3519,54.5217,54.8093,8195262.090592334,3297601337.979094
2023-12-29,2023-12-30,55.6843,55.8073,54.403,54.9339,10128170.010452962,3315263101.045296
2023-12-28,2023-12-29,55.633,56.575,55.2926,55.7017,15217391.773519164,3352898613.240418
2023-12-27,2023-12-28,54.5416,55.8363,54.0739,55.5125,18195796.62020906,3300391735.1916375
2023-12-26,2023-12-27,54.1433,56.8141,53.7894,54.4415,17372618.452961672,3271136257.839721
2023-12-25,2023-12-26,54.724,54.9927,54.1932,54.347,9858264.36933798,3273228585.365854
2023-12-24,2023-12-25,55.4948,56.1719,54.7183,54.7555,10145280.44250871,3318361066.2020907
2023-12-23,2023-12-24,55.4513,56.0271,54.8408,55.5195,11259057.787456445,3336541797.9094076
