Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,103.622,106.5047,102.9086,105.3368,35379908.96864112,1265015417.4634147
2024-02-13,2024-02-14,106.2455,106.7808,101.7547,103.623,38332071.278745644,1259997474.3554008
2024-02-12,2024-02-13,103.2861,106.5024,101.4714,106.0539,29830293.42508711,1250864633.1463416
2024-02-11,2024-02-12,103.4134,105.3691,102.0808,102.8217,24747354.00348432,1253172015.2508712
2024-02-10,2024-02-11,105.6643,106.0756,103.5193,103.5193,30998212.348432057,1263817520.0348432
2024-02-09,2024-02-10,104.1579,106.8599,104.0838,105.8081,29713365.094076656,1270841392.7770035
2024-02-08,2024-02-09,104.4057,104.5955,102.4562,104.3232,24366238.57839721,1252656988.8850174
2024-02-07,2024-02-08,103.1197,104.8205,101.7396,104.2792,23375025.648083623,1243950769.6236935
2024-02-06,2024-02-07,101.8231,103.3017,101.2502,103.0888,24355812.717770036,1233168741.912892
2024-02-05,2024-02-06,100.8109,103.4368,100.1289,101.6901,25433920.581881534,1227456898.2439024
2024-02-04,2024-02-05,102.5843,102.5843,100.3772,100.9085,23339916.466898955,1224098111.0696864
2024-02-03,2024-02-04,102.8951,104.3312,102.3357,102.5634,23167759.445993032,1248689167.867596
2024-02-02,2024-02-03,103.2341,104.5961,102.0652,102.8347,33242833.672473866,1246218366.317073
2024-02-01,2024-02-02,102.6701,103.7445,100.7529,103.4644,36352314.578397214,1238753296.0592334
2024-01-31,2024-02-01,105.6657,105.6657,101.9679,102.7086,34297093.02090593,1252329447.5296168
2024-01-30,2024-01-31,108.1541,109.2805,105.027,105.2441,29682921.027874563,1296661883.348432
2024-01-29,2024-01-30,105.654,108.8179,104.5282,108.4675,28133810.393728223,1289359496.327526
2024-01-28,2024-01-29,108.6971,109.2023,104.9386,105.8696,22148544.721254356,1298369246.097561
2024-01-27,2024-01-28,109.6906,110.5395,107.9435,108.5147,23069959.958188154,1320637402.9233449
2024-01-26,2024-01-27,105.1333,110.1508,104.4693,110.1508,25925463.529616725,1294475148.707317
2024-01-25,2024-01-26,106.0982,107.7326,102.9002,105.1339,27883231.400696862,1269135986.0278745
2024-01-24,2024-01-25,104.8368,108.9159,103.7085,106.1354,34222415.160278745,1278631177.6794424
2024-01-23,2024-01-24,106.6578,108.1298,100.6138,104.7555,35604810.87108014,1260527497.0487804
2024-01-22,2024-01-23,113.107,113.5435,106.3701,106.6274,29027113.442508712,1321535345.390244
2024-01-21,2024-01-22,114.7786,115.8308,112.8795,112.8795,19696515.860627178,1385654220.5783973
2024-01-20,2024-01-21,114.1096,115.6297,112.49,114.7783,28607964.898954704,1375574712.6933799
2024-01-19,2024-01-20,113.4492,114.4477,107.4743,113.9102,36025858.721254356,1356373645.5017421
2024-01-18,2024-01-19,117.6082,119.6624,111.6818,113.6786,28520514.979094077,1402226951.8188152
2024-01-17,2024-01-18,119.311,120.1351,115.8982,117.3615,28020641.264808364,1420578561.0383275
2024-01-16,2024-01-17,116.7842,120.3029,116.024,119.2434,28125541.334494773,1421367436.620209
2024-01-15,2024-01-16,115.545,119.479,115.545,116.6706,28773973.57839721,1421686707.9930313
2024-01-14,2024-01-15,120.1841,120.714,115.5436,115.5436,30032835.982578397,1435587868.3937283
2024-01-13,2024-01-14,116.7824,121.2364,114.5671,120.4477,54501716.00348432,1431034031.6585367
2024-01-12,2024-01-13,124.6146,130.5869,113.6758,116.5217,62538205.087108016,1488486126.4216027
