Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-14,2024-02-15,29.8245,32.3425,29.7179,32.3425,6149492.839721254,621091880.71777
2024-02-13,2024-02-14,29.4601,29.9984,29.0972,29.8155,7203542.156794425,596168110.1602788
2024-02-12,2024-02-13,28.9936,29.7999,28.7344,29.3798,6511512.630662021,585639150.7247387
2024-02-11,2024-02-12,29.636,29.8344,28.9262,28.9342,6827349.735191638,590061170.261324
2024-02-10,2024-02-11,30.7656,30.7813,29.1643,29.6411,5447383.139372822,605580993.2125436
2024-02-09,2024-02-10,29.5072,30.8104,29.4945,30.749,5076934.787456446,603177129.2334495
2024-02-08,2024-02-09,28.9858,29.5567,28.6543,29.5245,8790911.44599303,583035300.9581882
2024-02-07,2024-02-08,28.7238,29.2568,28.1645,29.0004,6758646.923344947,573982410.5714285
2024-02-06,2024-02-07,27.9216,28.9447,27.9216,28.8077,4319589.519163763,567964322.1498258
2024-02-05,2024-02-06,28.0216,28.3193,27.7066,27.9011,4565189.50174216,561680748.8954704
2024-02-04,2024-02-05,28.0249,28.2714,27.806,28.0534,4530541.459930314,562641209.3728223
2024-02-03,2024-02-04,28.4628,28.5636,28.0097,28.0275,4952361.163763066,566131001.1986063
2024-02-02,2024-02-03,29.1065,29.2241,28.2857,28.464,5114737.494773519,576499065.8954704
2024-02-01,2024-02-02,29.0615,29.1065,28.5139,29.0841,6108486.979094077,578523479.0940766
2024-01-31,2024-02-01,30.254,30.254,28.9467,29.0329,6549072.344947735,594736110.2752613
2024-01-30,2024-01-31,29.9916,31.0055,29.8693,30.2137,6397647.240418118,607309087.8745644
2024-01-29,2024-01-30,29.5224,30.0002,28.8677,30.0002,5685578.229965157,592442345.8850174
2024-01-28,2024-01-29,30.1527,30.3697,29.4475,29.5198,5338083.12543554,601582227.9686412
2024-01-27,2024-01-28,29.9476,30.3281,29.7158,30.1118,5535185.87108014,603137674.6864111
2024-01-26,2024-01-27,28.5543,29.9721,28.4644,29.8901,5879504.386759582,587998435.1324042
2024-01-25,2024-01-26,28.815,28.8379,28.1178,28.5582,5882711.167247387,572572183.0627178
2024-01-24,2024-01-25,27.8124,28.7813,27.3838,28.7813,7827189.017421603,565631208.010453
2024-01-23,2024-01-24,29.3608,29.4311,26.7096,27.8022,8182503.459930314,561668387.4006969
2024-01-22,2024-01-23,30.4483,30.5012,29.3921,29.4243,7450417.383275261,600636869.7839721
2024-01-21,2024-01-22,30.7965,31.1399,30.4288,30.4288,7073260.993031359,616520621.728223
2024-01-20,2024-01-21,30.3704,30.9664,30.1982,30.7953,8030896.689895471,612621125.6655052
2024-01-19,2024-01-20,31.3331,31.6308,29.4473,30.4576,10050450.327526132,617401599.6167247
2024-01-18,2024-01-19,34.0369,34.0369,31.066,31.4625,10048796.020905923,654543940.7770035
