Start,End,Open,High,Low,Close,Volume,Market Cap
2024-02-13,2024-02-14,1.00027,1.00114,1.0002,1.0009350000000001,104542941285.72125,96701805279.2683
2024-02-12,2024-02-13,1.0005799999999998,1.00095,1,1.0002,77434225675.63066,96504005354.68292
2024-02-11,2024-02-12,1.000495,1.000715,1.000015,1.000585,65459010782,96376577306.52264
2024-02-10,2024-02-11,1.000445,1.000815,1.000365,1.0005,86282645618.1115,96277346702.7317
2024-02-09,2024-02-10,0.9999100000000001,1.00076,0.9995149999999999,1.00048,88933464165.554,96206510541.81882
2024-02-08,2024-02-09,0.999715,0.99994,0.9994149999999999,0.999905,80219641566.05576,96151080483.80836
2024-02-07,2024-02-08,0.9999199999999999,1.000115,0.9994350000000001,0.9997149999999999,66937860131.75958,96161126871.12544
2024-02-06,2024-02-07,0.999315,0.99994,0.999215,0.999915,66324750095.25087,96187770410.97212
2024-02-05,2024-02-06,0.99977,0.999825,0.99922,0.999305,60797511484.25784,96180888957.90941
2024-02-04,2024-02-05,0.999885,0.9999750000000001,0.99969,0.999795,48331284391.902435,96216246432.31708
2024-02-03,2024-02-04,0.99977,0.9999,0.9996149999999999,0.9999,59769362182.70035,96208509913.06969
2024-02-02,2024-02-03,1.00001,1.0000149999999999,0.99953,0.99976,73801345396.00348,96197191545.81534
2024-02-01,2024-02-02,1.0001,1.0001,0.9994350000000001,1.000005,86469008133.91986,96191315934.47736
2024-01-31,2024-02-01,1.000065,1.0004,0.999625,1.0001,86631353590.93729,96182267330.73868
2024-01-30,2024-01-31,1.000185,1.000205,0.99978,1.0000499999999999,81646037637.93031,96047760659.78746
2024-01-29,2024-01-30,1.0000550000000001,1.0005,0.999795,1.000195,67333807845.09059,96037903413
2024-01-28,2024-01-29,1.0000499999999999,1.0000900000000001,0.9997499999999999,1.00003,61599564990.24042,96035580085.22649
2024-01-27,2024-01-28,1.000045,1.0001099999999998,0.99987,1.0000499999999999,74141356002.12892,95984660053.03833
2024-01-26,2024-01-27,1.000205,1.0003449999999998,0.99975,0.9999899999999999,76244193049.83624,95558064107.02788
2024-01-25,2024-01-26,1.000335,1.00041,0.99968,1.0002,74811698601.96167,95565238537.70732
2024-01-24,2024-01-25,1.0000149999999999,1.00052,0.9998549999999999,1.00029,98126200352.54355,95522553313.48781
2024-01-23,2024-01-24,0.999505,1.00021,0.99922,1.00001,106167114752.72125,94914619880.64809
2024-01-22,2024-01-23,1.000515,1.0006249999999999,0.9994350000000001,0.99947,72416125601.8223,94928414826.72473
2024-01-21,2024-01-22,1.000495,1.000725,1.000475,1.0005600000000001,55665253966.020905,95001838414.52614
2024-01-20,2024-01-21,1.000105,1.000885,1.00007,1.00057,86261908006.22649,95111041281.4669
2024-01-19,2024-01-20,1.0000399999999998,1.0060927060963316,0.9996849999999999,1.00006,98598278829.86063,95068449589.02438
2024-01-18,2024-01-19,0.99974,1.0001499999999999,0.9992099999999999,1.0000499999999999,83384113416.17073,95138337888.00697
2024-01-17,2024-01-18,1.000105,1.000225,0.99962,0.99973,86465840032.25087,95124389853.48781
2024-01-16,2024-01-17,0.999935,1.000275,0.999485,1.000135,82367053232.99652,95093635859.72125
2024-01-15,2024-01-16,0.99956,1.00017,0.99956,0.999865,81604576566.06969,94998352924.04878
2024-01-14,2024-01-15,1.000035,1.000195,0.999585,0.9996700000000001,71516786753.78049,95009057373.12892
2024-01-13,2024-01-14,1.00015,1.00023,0.9997499999999999,1.0000149999999999,127718061030.32753,95005595452.76656
2024-01-12,2024-01-13,0.99998,1.0003900000000001,0.9993350000000001,1.000155,139027494291.6446,94952207494.56097
2024-01-11,2024-01-12,1.000155,1.0004499999999998,0.999405,0.99993,177327046744.0453,94589214260.4216
2024-01-10,2024-01-11,1.00027,1.000795,0.999935,1.0000850000000001,129485912102.36586,94360387772.22299
2024-01-09,2024-01-10,1.000735,1.000855,0.9998149999999999,1.00026,115964767876.13937,94093046903.93379
2024-01-08,2024-01-09,1.000715,1.00121,1.00055,1.00075,101050810426.8641,93691797551.09756
2024-01-07,2024-01-08,1.00061,1.00092,1.00051,1.000735,74211978117.98257,93605263187.55052
2024-01-06,2024-01-07,1.0010750000000002,1.00119,1.00044,1.00061,93181542495.1777,93364419812.47386
2024-01-05,2024-01-06,1.001175,1.001295,1.000705,1.0011,110788169727.47386,92859988175.90244
2024-01-04,2024-01-05,1.00068,1.001715,1.000605,1.0012750000000001,143483708609.6237,92360462601.44948
2024-01-03,2024-01-04,1.00068,1.00162,1.000565,1.000575,131568443688.86063,92097390478.41115
2024-01-02,2024-01-03,1.00049,1.001155,1.00043,1.00074,100959908319.09407,91781529041.11847
2024-01-01,2024-01-02,1.000425,1.000705,1.000265,1.00048,79904890522.07317,91751704616.16028
2023-12-31,2024-01-01,1.000585,1.000585,1.000105,1.00047,72153405610.89548,91731886155.34494
2023-12-30,2023-12-31,1.000725,1.000765,1.000395,1.00067,89371712656.37631,91717552096.76306
2023-12-29,2023-12-30,1.001,1.0011450000000002,1.00056,1.00069,105705141591.47736,91584800396.58188
2023-12-28,2023-12-29,1.0009350000000001,1.001095,1.00055,1.0009700000000001,148823108584.01395,91518439575
2023-12-27,2023-12-28,1.00069,1.001045,1.000495,1.00089,162145827684.45645,91410403116.92683
2023-12-26,2023-12-27,1.000655,1.000945,1.000035,1.000635,152311442047.1359,91365294544.09756
2023-12-25,2023-12-26,1.00102,1.00107,1.0004499999999998,1.0006750000000002,132251384049.61324,91327247106.3101
2023-12-24,2023-12-25,1.0008400000000002,1.001175,1.000755,1.001035,132607806947.69687,91339912430.4007
2023-12-23,2023-12-24,1.00129,1.001395,1.00074,1.0008400000000002,138268274568.51917,91262429335.4669
2023-12-22,2023-12-23,1.000585,1.001295,1.0005099999999998,1.00129,155688509423.40765,91138513909.1533
2023-12-21,2023-12-22,1.0005099999999998,1.000685,1.00041,1.00056,127318100151.98607,91063520184.7108
2023-12-20,2023-12-21,1.000445,1.000645,1.000205,1.0005099999999998,86798843380.76656,90967902228.01045
2023-12-19,2023-12-20,1.000265,1.00048,0.9998849999999999,1.000405,90425144292.30313,90928455128.5575
2023-12-18,2023-12-19,0.9999199999999999,1.00027,0.99971,1.00023,82175591215.33449,90911742798.48431
2023-12-17,2023-12-18,1.000115,1.000245,0.9995099999999999,0.99993,69040129110.45645,90907121148.68642
2023-12-16,2023-12-17,1.0005799999999998,1.000595,0.9999849999999999,1.0001,78009446281.24739,90922391445.60628
2023-12-15,2023-12-16,1.00055,1.000725,1.0003449999999998,1.0005799999999998,93599870636.43903,90849061935.55052
2023-12-14,2023-12-15,1.0005,1.00075,1.000385,1.0006149999999998,99014675850.56097,90706163444.63414
2023-12-13,2023-12-14,1.000195,1.0005199999999999,0.9999899999999999,1.00044,96176783379.9056,90670241408.46153
2023-12-12,2023-12-13,1.00024,1.0004149999999998,0.9998400000000001,1.0002,112842984691.6899,90640316155.03484
2023-12-11,2023-12-12,1.000475,1.0006,0.9997449999999999,1.000245,108247810567.15845,90576625914.17606
2023-12-10,2023-12-11,1.00064,1.00064,1.0003,1.00048,76882124828.76306,90601278125.0209
2023-12-09,2023-12-10,1.000115,1.00081,1.0001,1.0006499999999998,93753295712.3101,90368344644.8885
2023-12-08,2023-12-09,1.0003799999999998,1.0004849999999998,1.00012,1.00012,97187374979.35541,90233982253.49129
2023-12-07,2023-12-08,1.000465,1.000725,1.0001799999999998,1.0003799999999998,98973959574.45993,90092245309.90941
2023-12-06,2023-12-07,1.000525,1.00062,1,1.000475,123271922566.77701,89946474197.17421
2023-12-05,2023-12-06,0.99954,1.000435,0.9994350000000001,1.000435,113072641746.34494,89774537829.22299
2023-12-04,2023-12-05,0.99993,1.0001,0.9993799999999999,0.9995700000000001,100427421622.83275,89618345031.81184
2023-12-03,2023-12-04,1.00016,1.00016,0.999465,0.999925,65126503767.69338,89557187495.52962
2023-12-02,2023-12-03,1.00023,1.000425,0.99985,1.00017,58268505970.10802,89524820185.50174
2023-12-01,2023-12-02,1.000175,1.00034,0.999935,1.000185,60633808017.23077,89356580541.48952
2023-11-30,2023-12-01,1.000105,1.00035,1.000005,1.0001250000000002,62261416777.357635,89271315873.28473
2023-11-29,2023-11-30,1.00019,1.000405,0.99995,1.00012,96412236046,89075915693.79861
2023-11-28,2023-11-29,1.000115,1.000465,1.00008,1.000205,103139546491.95139,88910467103.10764
2023-11-27,2023-11-28,1.000165,1.0005,1.000055,1.000105,97133568383.43903,88798253504.65506
2023-11-26,2023-11-27,1.000295,1.00044,0.999885,1.000165,65176776730.60702,88738457389.42105
2023-11-25,2023-11-26,1.00033,1.000515,1.000075,1.0003449999999998,102929165025.17421,88687686224.00697
2023-11-24,2023-11-25,1.0001,1.0004849999999998,1.000045,1.00033,94606748657.45296,88533788724.83624
2023-11-23,2023-11-24,1.0003549999999999,1.00039,1.000025,1.000105,116898240850.01045,88495684515.33101
2023-11-22,2023-11-23,1.000455,1.000655,1.0001250000000002,1.000335,146320978588.78745,88312787279.50174
2023-11-21,2023-11-22,1.0005600000000001,1.0006,1.000155,1.000445,119459333266.12195,88025679384.68642
2023-11-20,2023-11-21,1.000455,1.0008249999999999,1.00021,1.0005549999999999,93272617427.91289,87761667611.5993
2023-11-19,2023-11-20,1.000635,1.0007549999999998,1.0002550000000001,1.0004499999999998,73454378665.72473,87746876143.66899
2023-11-18,2023-11-19,1.00048,1.0008,1.00037,1.000675,106406524602.51569,87711992753.86063
2023-11-17,2023-11-18,1.00014,1.000525,1.00014,1.0004849999999998,142066162060.85367,87551801721.16028
2023-11-16,2023-11-17,1.0005,1.0006599999999999,1.000005,1.00012,150654120757.34146,87452481063.99652
2023-11-15,2023-11-16,1.000315,1.0006849999999998,1.0002,1.00068,134339520225.06621,87331690153.95122
2023-11-14,2023-11-15,1.0004499999999998,1.00064,0.999865,1.000335,125347454720.55052,87077631402.77003
2023-11-13,2023-11-14,1.00006,1.000855,1.00006,1.000435,103494147979.87805,86848225181.10104
2023-11-12,2023-11-13,0.9999750000000001,1.00065,0.99995,0.999995,102417052353.56445,86797956775.33798
2023-11-11,2023-11-12,1.00015,1.00069,0.999905,0.99998,129504927801.49477,86685448901.62021
2023-11-10,2023-11-11,1.00013,1.0007899999999998,0.999905,1.00011,199526569930.9129,86507829362.22997
2023-11-09,2023-11-10,1.000315,1.000735,0.9999899999999999,1.00008,152135459628.8014,86273868391.51569
2023-11-08,2023-11-09,1.0007549999999998,1.000855,1,1.0003600000000001,102945778551.64111,86085789894.42857
2023-11-07,2023-11-08,1.000445,1.001055,1.000385,1.00081,90709147596.06969,85588249330.70383
2023-11-06,2023-11-07,1.001195,1.00129,1.00035,1.000495,87590898213.10802,85464904632.10802
2023-11-05,2023-11-06,1.000995,1.0013,1.00096,1.00099,72183508038.8432,85460153551.52614
2023-11-04,2023-11-05,1.0008750000000002,1.0011100000000002,1.000795,1.00105,81572139241.33798,85422424552.49477
2023-11-03,2023-11-04,1.0003199999999999,1.000955,1.000235,1.000905,109797115167.5575,85221681384.35541
2023-11-02,2023-11-03,1.00078,1.001045,1.00017,1.0003199999999999,139898539138.20557,84920625398.81534
2023-11-01,2023-11-02,1.000475,1.00086,1.000245,1.0006849999999998,97911052888.59583,84831691899.04181
2023-10-31,2023-11-01,1.0006,1.000955,1.00039,1.00047,90315531885.03136,84666225630.06271
2023-10-30,2023-10-31,1.0005549999999999,1.000775,1.0003199999999999,1.0006,76309040590.80139,84580056986.25435
2023-10-29,2023-10-30,1.00044,1.000725,1.000365,1.0006,53324152820.68293,84580361853.78049
2023-10-28,2023-10-29,1.000535,1.000585,1.000365,1.00049,73426985442.18118,84576967539.48781
2023-10-27,2023-10-28,1.00044,1.00057,1.000275,1.000475,94108432842.78746,84533667062.1324
2023-10-26,2023-10-27,1.000505,1.000505,1.0001250000000002,1.000445,119280937702.28421,84358383015.92982
2023-10-25,2023-10-26,1.000475,1.000635,1.000135,1.000475,151672670501.6237,84292578033.52264
2023-10-24,2023-10-25,1.000425,1.0006050000000002,0.999725,1.0004849999999998,214635043675.5296,84201662000.21603
2023-10-23,2023-10-24,1.000565,1.00108,1.000245,1.00037,86556290490.29268,84210173457.5993
2023-10-22,2023-10-23,1.00035,1.000635,1.0003199999999999,1.00057,62425795385.46342,84192554111.96516
2023-10-21,2023-10-22,1.0005950000000001,1.0017477362064575,1.00024,1.000405,68857541376.66202,84188985418.23344
2023-10-20,2023-10-21,1.00081,1.000925,1.00017,1.0005899999999999,81609850027.72473,83979036009.80139
2023-10-19,2023-10-20,1.00042,1.0008050000000002,1.00023,1.0008,56850414653.01394,83853826250.58885
2023-10-18,2023-10-19,1.000405,1.00069,1.00035,1.00042,61167714350.77352,83723101534.21951
2023-10-17,2023-10-18,1.0005799999999998,1.000675,1.00031,1.000375,89460549541.14285,83628635970.4251
