Start,End,Open,High,Low,Close,Volume,Market Cap
2019-01-31,2019-02-01,3431.362442078,3444.211654814,3411.395691161,3426.200593376,1798273.488332004,0
2019-02-01,2019-02-02,3426.939318834,3482.873876403,3366.958164753,3464.521276376,1737436.8829021128,0
2019-02-02,2019-02-03,3462.680913959,3500.696899706,3431.124749168,3500.696899706,1571616.3473861841,0
2019-02-03,2019-02-04,3496.258301668,3499.834959801,3393.132994023,3435.897395339,1779490.8660260479,0
2019-02-04,2019-02-05,3436.858714323,3481.855509338,3410.32666287,3437.530276146,1957334.993488018,0
2019-02-05,2019-02-06,3439.525110105,3476.928027179,3423.935425624,3450.610608199,1782133.0497178845,0
2019-02-06,2019-02-07,3455.444601575,3461.007927504,3385.985388403,3399.931566852,1526952.9623662252,0
2019-02-07,2019-02-08,3397.743753215,3411.034843338,3346.230241196,3363.004707934,1578429.120150857,0
2019-02-08,2019-02-09,3362.112314991,3651.066770651,3336.42505668,3638.054480958,1951088.631473269,0
2019-02-09,2019-02-10,3642.082540017,3663.069244151,3592.389818186,3642.548238542,2621171.371653265,0
2019-02-10,2019-02-11,3649.041418233,3811.287671495,3576.442677368,3652.69857857,1971573.5132525153,0
2019-02-11,2019-02-12,3652.191284667,3652.191284667,3583.375131197,3593.445074326,2159648.0416695857,0
2019-02-12,2019-02-13,3580.29496013,3659.253783233,3552.342574513,3596.737506585,2064234.4344311606,0
2019-02-13,2019-02-14,3590.61253845,3619.595693576,3569.500715252,3588.337664455,1847224.4895922178,0
2019-02-14,2019-02-15,3588.411414022,3615.698724173,3560.307997695,3580.434309793,1411275.088062156,0
2019-02-15,2019-02-16,3572.537262765,3867.350267752,3572.537262765,3602.552427379,1232048.6169093307,0
2019-02-16,2019-02-17,3606.600356024,3654.630901243,3590.336398018,3600.819309744,1235452.0691875408,0
2019-02-17,2019-02-18,3592.937793759,3635.150438474,3459.859064179,3628.493999712,1280702.0497259845,0
2019-02-18,2019-02-19,3628.020611535,3870.871316927,3620.539740015,3846.231140475,1251182.6366988928,0
2019-02-19,2019-02-20,3837.783335606,3936.381386029,3823.52343127,3885.688733142,2478824.8496927237,0
2019-02-20,2019-02-21,3888.147614939,3972.82745885,3857.709681483,3910.072164331,2464702.333005964,0
2019-02-21,2019-02-22,3910.301085605,3956.079784394,3864.233967291,3894.213517989,2268977.833149422,0
2019-02-22,2019-02-23,3898.447250728,3981.914160276,3877.903607969,3960.726012924,2133393.6619344745,0
2019-02-23,2019-02-24,3960.726012924,4124.59640551,3894.14801775,4108.554735884,1820400.33750317,0
2019-02-24,2019-02-25,4106.196283841,4162.099675221,3780.354820549,3807.282436168,1549895.8857783326,0
2019-02-25,2019-02-26,3800.218156444,3900.044945232,3800.218156444,3867.973643098,1297948.4824652893,0
2019-02-26,2019-02-27,3867.973643098,3876.626358754,3799.353851361,3860.337999365,1668628.572393969,0
2019-02-27,2019-02-28,3862.994214443,3901.008856673,3779.584698064,3856.362987696,1710135.4777645646,0
2019-02-28,2019-03-01,3857.026215908,3890.237257024,3817.37240455,3844.902296721,2037868.3766654162,0
2019-03-01,2019-03-02,3845.003485651,3873.559522177,3820.76542886,3838.491070685,1953299.0454787998,0
2019-03-02,2019-03-03,3839.164914472,3860.606578987,3807.224943349,3842.317298426,1944048.3366273548,0
2019-03-03,2019-03-04,3839.871716356,3897.073543339,3813.14521935,3828.182641014,1980129.0521454974,0
2019-03-04,2019-03-05,3881.871763848,3896.391000423,3721.014273107,3749.756297915,1703171.9058558305,0
2019-03-05,2019-03-06,3752.468460738,3871.62444128,3732.757937338,3862.364618893,1533428.908447012,0
2019-03-06,2019-03-07,3862.788222694,3885.536571194,3837.432428249,3872.238549186,1017007.5046880076,0
2019-03-07,2019-03-08,3870.628982234,3920.207494596,3857.821389154,3892.730381353,973788.7357149493,0
2019-03-08,2019-03-09,3888.332717999,3943.12393991,3845.847185609,3860.291587609,530828.1576671723,0
2019-03-09,2019-03-10,3863.183637673,3966.587108013,3854.331632419,3920.116036923,646883.1291704078,0
2019-03-10,2019-03-11,3911.875212875,3935.154207889,3875.907609661,3899.188696163,439857.7430082893,0
2019-03-11,2019-03-12,3887.636406491,3922.37627385,3846.561547613,3869.161917725,298629.4517343826,0
2019-03-12,2019-03-13,3877.502977764,3921.44243915,3843.605100369,3878.324379639,813839.2237636016,0
2019-03-13,2019-03-14,3883.214055991,3906.636053034,3851.257070884,3880.21373871,970966.7446105023,0
2019-03-14,2019-03-15,3877.572913493,3915.86024217,3867.043738901,3894.130427229,837736.4588483956,0
2019-03-15,2019-03-16,3894.683113976,3943.000611834,3875.808637356,3902.904517476,639281.1487955758,0
2019-03-16,2019-03-17,3920.010316746,4036.230765721,3907.267786934,4003.029288648,663603.1687732271,0
2019-03-17,2019-03-18,4001.338798474,4046.209569837,3954.237593529,3985.502315973,590175.3950263201,0
2019-03-18,2019-03-19,3985.272303036,4081.189977847,3960.621702613,3999.292940076,608277.9086100565,0
2019-03-19,2019-03-20,3994.97235791,4048.036839661,3965.265457979,4020.343547524,1157558.8447366785,0
2019-03-20,2019-03-21,4017.929775869,4066.576461106,3926.612891701,4064.085627702,1630290.9051225206,0
2019-03-21,2019-03-22,4059.32828069,4087.050394412,3966.691885579,4018.733751415,1891198.5527738484,0
2019-03-22,2019-03-23,4014.302937757,4034.98010674,3979.669765546,4014.253647914,1066135.9987928153,0
2019-03-23,2019-03-24,4019.1287509,4046.092617569,4002.891518323,4031.160352158,469277.708898035,0
2019-03-24,2019-03-25,4027.132945959,4077.873537922,4007.429325088,4020.701259347,321591.0315761556,0
2019-03-25,2019-03-26,4019.344606345,4041.716043384,3937.791291804,3967.977219292,326233.1805424676,0
2019-03-26,2019-03-27,3965.860046488,3995.838921315,3914.41225032,3965.605838207,584682.6528727604,0
2019-03-27,2019-03-28,3978.217864297,8007.844152698,3967.506547829,4066.506388289,486582.5606846707,0
2019-03-28,2019-03-29,4060.98881927,4149.765996927,4040.13734142,4122.183440709,226110.75969814524,0
2019-03-29,2019-03-30,4132.813739271,4178.879633636,4064.937133679,4170.555132819,219417.14257124887,0
2019-03-30,2019-03-31,4170.555132819,4305.50040102,4118.374989713,4218.630240457,310874.2273967324,0
2019-03-31,2019-04-01,4221.626154947,4305.488651621,4137.971701088,4247.976156571,274421.01829234994,0
2019-04-01,2019-04-02,4284.364949733,4338.004679936,4200.709068388,4233.544678704,344971.7757214349,0
2019-04-02,2019-04-03,4299.992725169,4932.709143009,4180.091570349,4896.860652579,800642.0131321405,0
2019-04-03,2019-04-04,4895.263102467,5289.272329227,4882.84740058,4993.770088304,763374.9805103397,0
2019-04-04,2019-04-05,4987.017916913,5068.151961966,4899.156704968,5009.193625964,598611.0365900575,0
2019-04-05,2019-04-06,5001.216329037,5122.232412387,4941.491519537,5073.558592621,369934.5729476812,0
2019-04-06,2019-04-07,5069.143927853,5231.260070832,4994.48961166,5070.335445387,217312.29628887543,0
2019-04-07,2019-04-08,5079.927957867,5818.731085459,5055.967649214,5226.648213992,340100.2550029892,0
2019-04-08,2019-04-09,5223.676549385,5333.288191162,5129.18884779,5298.673926341,493235.4420294355,0
2019-04-09,2019-04-10,5279.855474203,5354.60946685,5184.912841343,5233.60053481,758780.1457094527,0
2019-04-10,2019-04-11,5239.115739197,5452.357468487,5226.590898205,5353.971942279,746544.0801000454,0
2019-04-11,2019-04-12,5358.846561414,5372.055114266,5007.93803967,5055.610609311,837768.2621439797,0
2019-04-12,2019-04-13,5092.302591072,5246.771438911,4983.302192373,5182.037746853,919674.5732452278,0
2019-04-13,2019-04-14,5181.685100507,5495.522384701,4866.740719927,5391.856528104,684398.585733561,0
2019-04-14,2019-04-15,5391.856528104,5615.214286837,4944.886689192,5223.339078036,491382.910430356,0
